siteID,date,observer,number,startTime,endTime,pathDistance
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45:00,1330
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14:00,1433
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",1,10:40,11:30:00,3600
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",1,10:40,11:30:00,3600
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",1,10:40,11:30:00,3600
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",1,10:40,11:30:00,3600
FURRMELGA1,2016-03-24,"JLD,BNT",1,11:15,12:00:00,NA
FURRMELGA1,2016-03-24,"JLD,BNT",1,11:15,12:00:00,NA
DUFFSHAFL1,2016-03-22,ZZ,1,07:30,09:15:00,337
DUFFSHAFL1,2016-03-22,ZZ,1,07:30,09:15:00,337
DUFFSHAFL1,2016-03-22,ZZ,1,07:30,09:15:00,337
DUFFSHAFL1,2016-03-22,ZZ,1,07:30,09:15:00,337
GOWAJOAFL1,2016-03-24,ZZ,1,07:30,09:00:00,2670
GOWAJOAFL1,2016-03-24,ZZ,1,07:30,09:00:00,2670
GOWAJOAFL1,2016-03-24,ZZ,1,07:30,09:00:00,2670
GOWAJOAFL1,2016-03-24,ZZ,1,07:30,09:00:00,2670
HANLCORFL1,2016-03-29,ZZ,1,8:30,09:30:00,NA
HANLCORFL1,2016-03-29,ZZ,1,8:30,09:30:00,NA
HANLCORFL1,2016-03-29,ZZ,1,8:30,09:30:00,NA
MILLMARFL1,2016-03-31,ZZ,1,7:20,09:00:00,NA
MILLMARFL1,2016-03-31,ZZ,1,7:20,09:00:00,NA
MILLMARFL1,2016-03-31,ZZ,1,7:20,09:00:00,NA
MILLMARFL1,2016-03-31,ZZ,1,7:20,09:00:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
HERRJAYFL1,2016-04-01,ZZ,1,7:15,08:45:00,NA
PLACGIRFL1,2016-04-03,ZZ,1,7:20,09:00:00,NA
PLACGIRFL1,2016-04-03,ZZ,1,7:20,09:00:00,NA
PLACGIRFL1,2016-04-03,ZZ,1,7:20,09:00:00,NA
PLACGIRFL1,2016-04-03,ZZ,1,7:20,09:00:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
PROWGARFL1,2016-04-04,ZZ,1,7:15,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
KNOXMIKFL1,2016-04-05,ZZ,1,7:10,08:45:00,NA
ROBIRONFL1,2016-04-06,ZZ,1,8:45,10:00:00,NA
ROBIRONFL1,2016-04-06,ZZ,1,8:45,10:00:00,NA
ROBIRONFL1,2016-04-06,ZZ,1,8:45,10:00:00,NA
ROBIRONFL1,2016-04-06,ZZ,1,8:45,10:00:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
WILLJIMFL1,2016-04-07,ZZ,1,7:20,08:45:00,NA
ELLIJONFL1,2016-04-10,ZZ,1,7:40,09:00:00,NA
ELLIJONFL1,2016-04-10,ZZ,1,7:40,09:00:00,NA
ELLIJONFL1,2016-04-10,ZZ,1,7:40,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
FLAGMARFL1,2016-04-11,ZZ,1,7:25,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CASEANNFL1,2016-04-12,ZZ,1,7:20,09:00:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
CARLDAVFL1,2016-04-13,ZZ,1,7:25,08:45:00,NA
FREEJOHFL1,2016-04-16,ZZ,1,7:15,08:45:00,NA
FREEJOHFL1,2016-04-16,ZZ,1,7:15,08:45:00,NA
FREEJOHFL1,2016-04-16,ZZ,1,7:15,08:45:00,NA
CHERNADFL1,2016-04-18,ZZ,1,7:10,08:30:00,NA
CHERNADFL1,2016-04-18,ZZ,1,7:10,08:30:00,NA
CHERNADFL1,2016-04-18,ZZ,1,7:10,08:30:00,NA
BOUGROBFL1,2016-04-19,ZZ,1,7:05,08:45:00,NA
BOUGROBFL1,2016-04-19,ZZ,1,7:05,08:45:00,NA
