siteIDCapture,dateCapture,timeCapture,obsCapture,encCapture,sppCapture,bandNumberCapture,colorComboCapture,massCapture,wingCapture,tlCapture,ageCapture,sexCapture,cpBpCapture,fatCapture,bloodIDCapture,featherIDCapture,notesCapture
SCHLROBMD1,2007-05-02,00:01,noData,B,GRCA,1951-41058,"XY,O",37.5,89,99999,ASY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2007-05-02,00:01,noData,B,NOCA,1951-41057,"XM,G",42,90,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,HOWR,2460-22948,"R,OX",10.2,53,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,CACH,2460-22949,"GB,X",10.1,63,99999,U,U,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,HOWR,2460-22950,"G,YX",13.8,50,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,NOCA,1991-46179,"X,GR",47.6,95,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,NOCA,1991-46180,"K,KX",48.2,87,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,CACH,2460-22951,"MY,X",11,61,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,B,GRCA,1991-46181,"PG,X",35.9,90,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2008-06-19,00:01,noData,R,CACH,2350-07610,"X,KG",8.9,99999,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82507,"OX,R",9.3,64,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CARW,2441-14001,"MG,X",22,60,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,GRCA,2411-37201,"M,MX",46.3,91.5,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37202,"PO,X",41.9,96,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37203,"XP,M",41.4,96,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82503,"BX,R",10.7,62,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,GRCA,2411-37206,"P,XW",35,89,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82506,"BX,B",9.6,58,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82508,"BM,X",11.1,58.5,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82509,"W,KX",10.3,64,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,GRCA,2411-37210,"XM,B",36.1,89,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82510,"G,GX",9.3,59,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82511,"MY,X",9.9,53.5,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82501,"MX,B",9.3,64,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37204,"YP,X",49.1,88,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82502,"B,BX",10,61,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82504,"W,OX",9.6,62,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,CACH,2590-82505,"XY,O",10.2,63,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37205,"XP,R",46.7,98,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37207,"BP,X",42.9,92,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37208,"PP,X",38.9,86,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37209,"PX,W",47.3,89,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,B,NOCA,2411-37211,"XP,W",39.9,96,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,R,NOCA,1951-41057,"XM,G",99999,99999,99999,noData,noData,noData,99999,noData,noData,noData
SCHLROBMD1,2009-05-15,00:01,noData,R,CACH,2350-07610,"X,KG",8.7,99999,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2010-07-12,00:01,noData,B,NOCA,2421-11546,"K,GX",39.3,89,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2010-07-12,00:01,noData,B,NOCA,2421-11547,"YK,X",38.6,85,99999,HY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2010-07-12,00:01,noData,B,CACH,2460-22967,"W,XO",10.4,62,99999,HY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2010-07-12,00:01,noData,B,CARW,2251-80374,"WX,R",20.4,63,99999,U,U,noData,99999,noData,noData,noData
SCHLROBMD1,2010-07-12,00:01,noData,R,NOCA,2411-37204,"YP,X",44.4,99999,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,CARW,2441-14190,"KW,X",18.1,61.5,99999,HY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,CACH,2590-82019,"X,WB",8.9,58,99999,AHY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,CARW,2441-14191,"OX,Y",16.4,54,99999,U,U,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,NOCA,2421-34691,"Y,OX",44.5,93,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,R,CACH,2590-82504,"W,OX",10.1,99999,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,CACH,2590-82020,"KX,G",9.4,60,99999,AHY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2012-07-10,00:01,noData,B,HOWR,2590-82021,"XM,O",10.6,49.5,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2013-07-13,00:01,noData,B,NOCA,2561-56870,"Y,XY",46.4,93,99999,SY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2013-07-31,00:01,noData,B,NOCA,2561-56869,"OO,X",39.2,87,99999,HY,U,noData,99999,noData,noData,noData
SCHLROBMD1,2015-07-10,00:01,noData,B,CARW,2661-31886,"B,XO",21.1,63,99999,AHY,F,noData,99999,noData,noData,noData
SCHLROBMD1,2015-07-10,00:01,noData,B,NOCA,2421-11397,"O,RX",42.3,95,99999,AHY,M,noData,99999,noData,noData,noData
SCHLROBMD1,2015-07-10,00:01,noData,B,CARW,2661-31884,"G,GX",21,60,99999,AHY,F,noData,99999,noData,noData,noData
SCHNLAUPA1,2015-08-01,00:01,noData,B,KEWA,2401-30850,"X,-",13.3,70,51,HY,M,noData,0,noData,noData,noData
SCHNLAUPA1,2015-08-01,00:01,noData,B,INBU,2401-30851,"X,-",15.3,68.5,51,ASY,M,CP,0,noData,noData,noData
SCHNLAUPA1,2015-08-01,00:01,noData,B,COYE,2710-50490,"X,-",9.4,54,99999,HY,U,noData,1,noData,noData,noData
SCHNLAUPA1,2015-08-01,00:01,noData,B,HOWA,2710-54089,"X,-",11.2,68,56.5,HY,M,noData,0,noData,noData,noData
SCHNLAUPA1,2015-08-01,00:01,noData,B,SCTA,2711-77349,"X,-",28.6,100,70,ASY,M,CP,1,noData,noData,noData
SCHOGREMA1,2015-07-20,00:01,noData,B,BCCH,2750-34905,"X,OP",11.98,64,61,U,U,noData,99999,noData,noData,noData
SCHOGREMA1,2015-07-20,00:01,noData,B,BCCH,2750-34904,"RX,P",11.41,67.5,65.5,HY,U,noData,99999,noData,noData,noData
SCHOGREMA1,2015-07-20,00:01,noData,B,GRCA,2651-43342,"K,XP",34.69,95,105,AHY,M,CP,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,NOCA,791-17082,"XW,M",44.8,92,95,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,HOWR,2250-24247,"G,XG",11.4,40,52,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,CARW,1141-05613,"X,GK",24.2,62,55,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,GRCA,791-17083,"XY,R",35.6,89,94,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,HOWR,2250-24248,"X,OW",99999,49.5,40.5,AHY,F,noData,99999,noData,noData,noData
SCHOPAUMD1,2001-06-04,00:01,noData,B,GRCA,791-17081,"M,XK",38.6,89,96,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2002-06-20,00:01,noData,B,GRCA,1801-09430,"XB,W",38,95,99999,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2002-06-20,00:01,noData,B,HOWR,2250-24622,"XR,K",11.2,51,99999,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2003-06-06,00:01,noData,B,SOSP,1811-58696,"Y,WX",19.7,63,99999,HY,U,noData,99999,noData,noData,noData
SCHOPAUMD1,2003-06-06,00:01,noData,B,GRCA,1801-77660,"OY,X",37.1,89,99999,AHY,F,noData,99999,noData,noData,noData
SCHOPAUMD1,2003-06-06,00:01,noData,B,NOCA,1801-77659,"B,RX",46.3,89,99999,AHY,F,noData,99999,noData,noData,noData
SCHOPAUMD1,2004-06-08,00:01,noData,B,GRCA,1891-87387,"W,XG",35.3,93.5,99999,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2004-06-08,00:01,noData,B,HOWR,2380-02408,"OB,X",11,49,99999,AHY,F,noData,99999,noData,noData,noData
SCHOPAUMD1,2004-06-08,00:01,noData,B,HOWR,2380-02409,"X,MY",11,51,99999,AHY,M,noData,99999,noData,noData,noData
SCHOPAUMD1,2004-06-08,00:01,noData,B,AMRO,742-29759,"OX,B",74.8,123,99999,HY,U,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56882,"P,X",43.7,93,99999,AHY,M,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56883,"K,X",43.3,89,99999,AHY,F,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56884,"Y,X",42.1,93,99999,AHY,M,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,CARW,2341-30139,"XM,O",19.2,61,99999,AHY,F,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,CARW,2341-30140,"XY,O",20.8,61.5,99999,AHY,M,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56885,"O,X",39.4,87,99999,AHY,F,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56886,"G,X",53.2,90,99999,AHY,F,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56889,"M,X",41.3,92,99999,AHY,M,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,NOCA,2301-56888,"W,X",43.9,87,99999,AHY,F,noData,99999,noData,noData,noData
SCHUDONMD1,2008-07-14,00:01,noData,B,AMRO,1232-87934,"YX,O",69.4,116.5,99999,HY,U,noData,99999,noData,noData,noData
