siteIDForayCountUnbanded,dateForayCountUnbanded,sppForayCountUnbanded,countForayCountUnbanded
TABACARPA1,2016-06-29,AMRO,36
TABACARPA1,2016-06-29,SOSP,20
TABACARPA1,2016-06-29,GRCA,2
TABACARPA1,2016-06-29,NOCA,5
TALEKELGA1,2016-06-08,CARW,1
TALEKELGA1,2017-05-08,SOSP,6
TALEKELGA1,2017-05-08,AMRO,9
TALEKELGA1,2017-05-08,CACH,8
TALEKELGA1,2017-05-08,NOCA,12
TALEKELGA1,2017-05-08,NOMO,3
TALEKELGA1,2017-05-08,GRCA,4
TALEKELGA1,2017-05-08,CARW,5
TALEKELGA1,2017-05-08,TUTI,3
TALEKELGA1,2017-05-08,BRTH,3
TAMBJUDMA1,2016-07-26,BCCH,2
TAMBJUDMA1,2016-07-26,GRCA,0
TAMBJUDMA1,2016-07-26,HOWR,0
TANGLAUDC1,2016-07-07,CARW,0
TANGLAUDC1,2016-07-07,HOWR,1
TANGLAUDC1,2016-07-07,NOCA,3
TANGLAUDC1,2017-06-06,AMRO,22
TANGLAUDC1,2017-06-06,GRCA,4
TANGLAUDC1,2017-06-06,HOWR,2
TANGLAUDC1,2017-06-06,NOCA,3
TANGLAUDC1,2017-06-06,CARW,0
TATEJUAMD1,2016-05-17,AMRO,19
TATEJUAMD1,2016-05-17,CACH,2
TATEJUAMD1,2016-05-17,CARW,2
TATEJUAMD1,2016-05-17,GRCA,3
TATEJUAMD1,2016-05-17,NOCA,7
TATEJUAMD1,2017-06-28,AMRO,21
TATEJUAMD1,2017-06-28,GRCA,15
TATEJUAMD1,2017-06-28,SOSP,0
TATEJUAMD1,2017-06-28,NOCA,11
TATEJUAMD1,2017-06-28,HOWR,3
TATEJUAMD1,2017-06-28,CARW,7
TATEJUAMD1,2017-06-28,CACH,5
TAYLJERNC1,2016-05-10,AMRO,8
TAYLJERNC1,2016-05-10,CARW,1
TAYLJERNC1,2016-05-10,GRCA,7
TAYLJERNC1,2016-05-10,SOSP,3
THERLARMA1,2016-06-02,BCCH,4
THERLARMA1,2016-06-02,GRCA,7
THERLARMA1,2016-06-02,HOWR,0
THERLARMA1,2016-06-02,NOCA,0
THERLARMA1,2016-06-02,SOSP,2
THERLARMA1,2017-06-05,AMRO,5
THERLARMA1,2017-06-05,BCCH,7
THERLARMA1,2017-06-05,GRCA,9
THERLARMA1,2017-06-05,NOCA,2
THERLARMA1,2017-06-05,SOSP,2
THOMDEBPA1,2017-06-01,AMRO,15
THOMDEBPA1,2017-06-01,NOCA,8
THOMDEBPA1,2017-06-01,SOSP,5
THOMMARPA1,2016-06-09,AMRO,9
THOMMARPA1,2016-06-09,SOSP,15
THOMMARPA1,2016-06-09,NOCA,7
THOMMARPA1,2016-06-09,CACH,4
THOMMARPA1,2017-06-20,AMRO,4
THOMMARPA1,2017-06-20,SOSP,2
THOMMARPA1,2017-06-20,CACH,2
TOSCPAMMA1,2017-07-08,AMRO,2
TOSCPAMMA1,2017-07-08,BCCH,1
TOSCPAMMA1,2017-07-08,GRCA,6
TOSCPAMMA1,2017-07-08,SOSP,3
TOSCPAMMA1,2016-05-22,GRCA,3
TOSCPAMMA1,2016-05-22,SOSP,5
TOTHCARGA1,2016-06-13,NOMO,2
TOUCWENMA1,2016-06-22,AMRO,7
TOUCWENMA1,2016-06-22,BCCH,2
TOUCWENMA1,2016-06-22,GRCA,3
TOUCWENMA1,2016-06-22,HOWR,0
TOUCWENMA1,2016-06-22,SOSP,4
TRACBRIGA1,2017-05-24,GRCA,3
TRACBRIGA1,2017-05-24,AMRO,19
TRACBRIGA1,2017-05-24,SOSP,18
TRACBRIGA1,2017-05-24,NOCA,9
TRACBRIGA1,2017-05-24,BRTH,4
TRACBRIGA1,2017-05-24,NOMO,7
TRACBRIGA1,2017-05-24,CACH,6
TRACBRIGA1,2017-05-24,CARW,3
TRAUPATVA2,2017-07-12,CACH,4
TRAUPATVA2,2017-07-12,CARW,6
TRAUPATVA2,2017-07-12,GRCA,7
TRAUPATVA2,2017-07-12,HOWR,3
TRAUPATVA2,2017-07-12,NOCA,9
TRAUPATVA2,2017-07-12,SOSP,2
TRAUPATVA2,2016-06-25,CACH,2
TRAUPATVA2,2016-06-25,GRCA,2
TRAUPATVA2,2016-06-25,SOSP,2
TRAUPATVA2,2016-06-25,AMRO,2
TRAUPATVA2,2016-06-25,TUTI,1
TRAUPATVA2,2016-06-25,NOCA,3
TRAUPATVA2,2016-06-25,NOMO,0
TRAUPATVA2,2016-06-25,CARW,1
TRAUPATVA2,2016-06-25,HOWR,0
VALLMEGMA1,2016-07-28,BCCH,11
VALLMEGMA1,2016-07-28,GRCA,4
VALLMEGMA1,2016-07-28,SOSP,0
VASAJODPA1,2016-06-30,AMRO,10
VASAJODPA1,2016-06-30,SOSP,6
VASAJODPA1,2016-06-30,NOMO,2
VEARRICMA1,2017-07-11,AMRO,12
VEARRICMA1,2017-07-11,GRCA,2
VEARRICMA1,2017-07-11,NOCA,3
VEARRICMA1,2017-07-11,NOMO,1
VEARRICMA1,2017-07-11,SOSP,3
VEARRICMA1,2016-06-15,AMRO,6
VEARRICMA1,2016-06-15,GRCA,2
VEARRICMA1,2016-06-15,NOCA,1
VEARRICMA1,2016-06-15,SOSP,1
VERSBETMD2,2016-06-14,NOCA,2
VERSBETMD2,2016-06-14,SOSP,0
VERSBETMD2,2016-06-14,HOWR,0
VERSBETMD2,2016-06-14,AMRO,0
