siteIDPartRs,datePartRs,bandNumberPartRs,typePartRs,notesPartRs
NEWTROBNC1,2017-09-12,1352-92422,P,noData
SIMPEDWNC1,2017-12-06,2180-92438,P,noData
BEALTOMMD1,2017-12-06,2651-51811,P,noData
GERHEUNPA1,2018-01-31,2741-54788,P,noData
GERHEUNPA1,2018-01-17,2741-54788,P,noData
COLSKATMD1,2018-01-15,2531-74593,P,noData
LEEJOEPA1,2018-01-16,1781-50409,P,male
NEWTROBNC1,2017-07-09,1352-92422,P,noData
RESIMARPA1,2017-08-26,2711-77328,P,noData
RESIMARPA1,2017-09-16,2771-42101,P,noData
RESIMARPA1,2017-10-11,2771-42101,P,noData
SACHLARPA1,2017-12-07,2711-77401,P,noData
BUDNNORNC1,2017-12-02,2771-40547,P,noData
BUDNNORNC1,2017-12-02,2711-64125,P,noData
SACHLARPA1,2017-11-30,2750-63977,P,Banded 5-22-2016 Age code at banding SY
SACHLARPA1,2017-11-26,1781-50441,P,Banded 5-24-2015
NEWTROBNC1,2017-07-12,2711-64191,P,noData
NEWTROBNC1,2017-08-29,2711-64191,P,noData
NEWTROBNC1,2017-09-12,2711-64191,P,noData
NEWTROBNC1,2017-11-10,2711-64191,P,noData
NEWTROBNC1,2017-07-10,0851-39913,P,noData
NEWTROBNC1,2017-07-12,0851-39912,P,noData
NEWTROBNC1,2017-09-12,0851-39912,P,noData
NEWTROBNC1,2017-08-29,0851-39911,P,noData
NEWTROBNC1,2017-09-06,0851-39911,P,noData
NEWTROBNC1,2017-10-16,0851-39911,P,noData
NEWTROBNC1,2017-11-15,0851-39911,P,noData
NEWTROBNC1,2017-07-28,2180-92480,P,noData
BERASHEPA1,2017-10-25,2711-77328B,P,noData
MADJDAVPA1,2017-12-01,2661-08096,P,noData
DEPHKATPA1,2017-11-04,2690-96112,P,noData
DEPHKATPA1,2017-11-30,2840-18507,P,noData
NEWTROBNC1,2017-08-12,2180-92480,P,noData
NEWTROBNC1,2017-10-04,2180-92480,P,noData
NEWTROBNC1,2017-11-10,2180-92480,P,noData
RALSJIMPA1,2017-12-10,2570-44777,P,noData
RALSJIMPA1,2017-11-01,2570-44776,P,noData
RALSJIMPA1,2017-10-10,2570-44776,P,noData
BEALTOMMD1,2018-01-02,2701-90206,P,noData
KARMALYPA3,2017-12-30,2711-57669,P,noData
KARMALYPA3,2017-12-30,2711-57666,P,noData
KARMALYPA3,2017-11-06,2711-57669,P,noData
KARMALYPA3,2017-10-24,2701-39481,P,noData
KARMALYPA3,2017-10-24,2711-57669,P,noData
THOMDEBPA1,2018-01-01,2750-63962,P,noData
DEPHKATPA1,2017-12-29,2840-18507,P,noData
DEPHKATPA1,2017-12-27,2840-18506,P,noData
DEPHKATPA1,2017-12-05,2750-63971,P,noData
DEPHKATPA1,2017-12-20,2711-77366,P,noData
DEPHKATPA1,2017-12-14,2541-40511,P,noData
DEPHKATPA1,2017-12-26,2690-96112,P,noData
HARVSUENC1,2017-12-31,2771-40527,P,noData
HARVSUENC1,2017-12-05,1352-92405,P,noData
RALSJIMPA1,2017-10-10,2750-45171,P,noData
HARVSUENC1,2017-11-12,2180-92414,P,noData
HARVSUENC1,2017-12-17,2790-45044,P,noData
MADJDAVPA1,2017-11-13,1781-50465,P,noData
NEWBCARVA1,2017-11-13,2840-12411,P,Coming to feeder
MADJDAVPA1,2017-11-16,2661-08096,P,noData
BARTTARPA1,2017-11-06,2750-64149,P,noData
PERNMIKMD1,2017-11-19,2750-44490,P,noData
PERNMIKMD1,2017-11-19,2750-44490,P,Sighted at feeder around noon.
SIMPEDWNC1,2017-11-20,2701-55841,P,noData
KRIVMAUGA1,2017-10-06,2711-77950,P,noData
KRIVMAUGA1,2017-10-05,2651-47301,noData,Band Number 2651-47301
KRIVMAUGA1,2017-10-06,2711-77950,P,Band Number 2711-77950
KRIVMAUGA1,2017-10-05,2651-47301,P,Band Number 2651-47301
MAFFANGPA1,2017-11-22,2710-54153,P,noData
BEALTOMMD1,2017-11-29,2771-42013,P,noData
WALTANNNC1,2017-04-24,2790-45015,P,noData
WALTANNNC1,2017-07-18,2790-45015,P,noData
WALTANNNC1,2017-11-10,851-39870,P,noData
WALTANNNC1,2017-06-18,851-39872,P,noData
WALTANNNC1,2017-07-30,851-39872,P,noData
WALTANNNC1,2017-11-27,851-39872,P,noData
WALTANNNC1,2017-07-30,2771-40414,P,noData
WALTANNNC1,2017-05-12,2701-55866,P,noData
WALTANNNC1,2017-06-01,2701-55866,P,noData
WALTANNNC1,2017-07-02,2701-55866,P,noData
WALTANNNC1,2017-05-09,2771-40521,P,noData
WALTANNNC1,2017-05-10,1352-92426,P,noData
WALTANNNC1,2017-07-30,1352-92426,P,noData
MOSELYNNC1,2017-12-14,1352-92425,P,At peanut butter mix+mealworm feeder
FERKHOLPA1,2017-02-26,2651-56428,P,noData
FERKHOLPA1,2017-09-17,2750-45399,P,noData
SIMPEDWNC1,2016-05-28,0851-39936,P,noData
SIMPEDWNC1,2016-05-28,0851-39942,P,noData
SIMPEDWNC1,2016-05-28,0851-39943,P,noData
SIMPEDWNC1,2016-05-28,0851-39944,P,noData
SIMPEDWNC1,2016-05-28,0851-39945,P,noData
SIMPEDWNC1,2016-05-28,2180-92534,P,noData
SIMPEDWNC1,2016-06-01,0851-39936,P,noData
SIMPEDWNC1,2016-06-01,0851-39939,P,noData
SIMPEDWNC1,2016-06-03,0851-39936,P,noData
SIMPEDWNC1,2016-06-04,1352-92502,P,noData
SIMPEDWNC1,2016-06-08,0851-39945,P,noData
SIMPEDWNC1,2016-06-10,0851-39943,P,noData
SIMPEDWNC1,2016-06-11,2180-92535,P,noData
SIMPEDWNC1,2016-06-12,0851-39943,P,noData
SIMPEDWNC1,2016-06-12,0851-39945,P,noData
SIMPEDWNC1,2016-06-19,1352-92502,P,noData
SIMPEDWNC1,2016-06-23,2180-92535,P,noData
SIMPEDWNC1,2016-07-10,2180-92536,P,noData
SIMPEDWNC1,2016-07-12,0851-39942,P,noData
SIMPEDWNC1,2016-07-12,0851-39945,P,noData
SIMPEDWNC1,2016-07-13,0851-39941,P,noData
SIMPEDWNC1,2016-07-13,2180-92535,P,noData
SIMPEDWNC1,2016-07-19,951-61553,P,noData
SIMPEDWNC1,2016-07-22,2711-64180,P,noData
SIMPEDWNC1,2016-07-23,0851-39941,P,noData
SIMPEDWNC1,2016-07-23,951-61553,P,noData
SIMPEDWNC1,2016-07-30,0851-39941,P,noData
SIMPEDWNC1,2016-08-03,2180-92535,P,noData
SIMPEDWNC1,2016-09-11,2180-92535,P,noData
SIMPEDWNC1,2016-09-12,0851-39942,P,noData
SIMPEDWNC1,2016-09-26,2180-92535,P,noData
SIMPEDWNC1,2016-09-26,2180-92536,P,noData
SIMPEDWNC1,2016-09-26,951-61553,P,noData
SIMPEDWNC1,2016-09-29,951-61553,P,noData
SIMPEDWNC1,2016-10-11,2711-64180,P,noData
SIMPEDWNC1,2016-10-14,0851-39942,P,noData
SIMPEDWNC1,2016-10-14,2711-64180,P,noData
SIMPEDWNC1,2016-10-15,2180-92536,P,noData
SIMPEDWNC1,2016-10-15,2711-64180,P,noData
SIMPEDWNC1,2016-10-23,2180-92534,P,noData
SIMPEDWNC1,2016-10-23,2180-92536,P,noData
SIMPEDWNC1,2016-10-23,2711-64180,P,noData
SIMPEDWNC1,2016-10-25,951-61553,P,noData
SIMPEDWNC1,2016-10-26,2180-92534,P,noData
SIMPEDWNC1,2016-10-26,2180-92536,P,noData
SIMPEDWNC1,2016-10-26,951-61553,P,noData
SIMPEDWNC1,2016-11-14,2180-92536,P,noData
SIMPEDWNC1,2016-12-01,2180-92536,P,noData
SIMPEDWNC1,2016-12-10,2711-64180,P,noData
SIMPEDWNC1,2016-12-20,2711-64180,P,noData
SIMPEDWNC1,2017-01-03,0851-39942,P,noData
SIMPEDWNC1,2017-01-07,2711-64180,P,noData
SIMPEDWNC1,2017-01-10,0851-39942,P,noData
SIMPEDWNC1,2017-01-14,0851-39942,P,noData
SIMPEDWNC1,2017-01-31,2180-92536,P,noData
SIMPEDWNC1,2017-02-04,2180-92534,P,noData
SIMPEDWNC1,2017-02-07,0851-39938,P,noData
SIMPEDWNC1,2017-02-07,1352-92502,P,noData
SIMPEDWNC1,2017-02-11,1352-92502,P,noData
SIMPEDWNC1,2017-02-11,2711-64180,P,noData
SIMPEDWNC1,2017-02-12,0851-39936,P,noData
SIMPEDWNC1,2017-02-12,0851-39938,P,noData
SIMPEDWNC1,2017-02-12,0851-39942,P,noData
SIMPEDWNC1,2017-02-13,2711-64180,P,noData
SIMPEDWNC1,2017-02-15,0851-39937,P,noData
SIMPEDWNC1,2017-02-18,0851-39936,P,noData
SIMPEDWNC1,2017-02-18,0851-39938,P,noData
SIMPEDWNC1,2017-02-18,2180-92534,P,noData
SIMPEDWNC1,2017-02-20,2711-64180,P,noData
SIMPEDWNC1,2017-03-02,0851-39942,P,noData
SIMPEDWNC1,2017-03-02,2711-64180,P,noData
SIMPEDWNC1,2017-03-03,2180-92536,P,noData
SIMPEDWNC1,2017-03-05,0851-39942,P,noData
SIMPEDWNC1,2017-03-11,0851-39939,P,noData
SIMPEDWNC1,2017-03-11,1352-92502,P,noData
SIMPEDWNC1,2017-03-11,2180-92536,P,noData
SIMPEDWNC1,2017-03-15,951-61553,P,noData
SIMPEDWNC1,2017-03-16,0851-39936,P,noData
SIMPEDWNC1,2017-03-16,2180-92534,P,noData
SIMPEDWNC1,2017-03-21,0851-39942,P,noData
SIMPEDWNC1,2017-03-24,0851-39942,P,noData
SIMPEDWNC1,2017-03-30,951-61553,P,noData
SIMPEDWNC1,2017-04-29,2711-64059,P,noData
SIMPEDWNC1,2017-05-03,2180-92534,P,noData
SIMPEDWNC1,2017-05-03,2180-92536,P,This bird now has a severely injured right leg.
SIMPEDWNC1,2017-05-03,951-61553,P,noData
SIMPEDWNC1,2017-05-04,2711-64059,P,noData
SIMPEDWNC1,2017-05-05,0851-39939,P,noData
SIMPEDWNC1,2017-05-05,951-61553,P,noData
SIMPEDWNC1,2017-05-08,2180-92438,P,noData
SIMPEDWNC1,2017-05-08,2711-64059,P,noData
SIMPEDWNC1,2017-05-11,0851-39937,P,noData
SIMPEDWNC1,2017-05-11,2711-64059,P,noData
SIMPEDWNC1,2017-05-13,2180-92438,P,noData
SIMPEDWNC1,2017-06-21,0851-39939,P,noData
SIMPEDWNC1,2017-06-21,0851-39941,P,noData
SIMPEDWNC1,2017-06-21,2180-92534,P,noData
SIMPEDWNC1,2017-06-21,2701-55841,P,noData
SIMPEDWNC1,2017-06-21,2711-64059,P,noData
SIMPEDWNC1,2017-06-22,0851-39941,P,noData
SIMPEDWNC1,2017-06-29,2711-64058,P,noData
SIMPEDWNC1,2017-07-10,1352-92502,P,noData
SIMPEDWNC1,2017-07-13,0851-39942,P,noData
SIMPEDWNC1,2017-07-18,2701-55841,P,noData
SIMPEDWNC1,2017-07-19,1352-92502,P,noData
SIMPEDWNC1,2017-08-05,2711-64059,P,noData
SIMPEDWNC1,2017-08-12,951-61553,P,noData
SKRALOUNC1,2015-06-27,2180-92560,P,noData
SKRALOUNC1,2015-06-27,2711-64157,P,noData
SKRALOUNC1,2015-06-27,2711-64158,P,noData
SKRALOUNC1,2015-07-25,2711-64157,P,noData
SKRALOUNC1,2015-07-25,2711-64158,P,noData
SKRALOUNC1,2015-10-19,2180-92560,P,noData
SKRALOUNC1,2015-11-23,2180-92560,P,noData
SKRALOUNC1,2015-11-23,2711-64158,P,noData
SKRALOUNC1,2015-12-16,2180-92560,P,noData
SKRALOUNC1,2016-01-15,2711-64158,P,noData
SKRALOUNC1,2016-01-25,2180-92560,P,noData
SKRALOUNC1,2016-02-15,2711-64158,P,noData
SKRALOUNC1,2016-02-21,2180-92560,P,noData
SLONJOHMA1,2013-03-31,2690-87941,P,noData
SLONJOHMA1,2013-05-09,2690-87939,P,noData
SLONJOHMA1,2013-07-02,1212-36693,P,noData
SLONJOHMA1,2013-07-02,2690-87593,P,noData
SLONJOHMA1,2013-11-11,2690-87941,P,noData
SLONJOHMA1,2014-04-12,2690-87941,P,noData
SLONSUSMA1,2013-07-04,2531-91109,P,noData
SLONSUSMA1,2013-07-07,2531-91199,P,noData
SLONSUSMA1,2013-10-04,2531-91199,P,noData
SLONSUSMA1,2013-10-07,2531-91109,P,We see this bird all the time! Frequent visitor since 2012!
SLONSUSMA1,2014-04-18,2531-91199,P,This bird comes to my yard and feeder almost everyday for the past two years.
SLONSUSMA1,2016-06-26,2531-91109,P,We see this bird all the time! Frequent visitor since 2012!
SMITHCADC1,2017-08-08,2651-64662,N,data via BBL report to bander 8/16/17
SOLIAPRMD1,2009-03-15,2341-30308,P,"yearColumn = 2008, banded 21 June; yearColumn = 2009, found dead"
SOLIAPRMD1,2009-11-15,1202-99045,P,"yearColumn = 2008, banded 6/21/2008 ; yearColumn = 2009, resighted by participant fall 2009"
SOLOJACPA1,2015-07-02,1342-74122,P,"JLM: participant entered the color combo as g/y,r"
SOLOJACPA1,2015-07-24,2750-64040,P,"JLM: participant entered color combo as y,g/r"
SPEAMARNC1,2015-06-20,2711-64113,P,noData
SPEAMARNC1,2015-06-21,1352-92457,P,noData
SPEAMARNC1,2015-07-03,2711-64113,P,noData
SPEAMARNC1,2015-07-05,1352-92457,P,noData
SPEAMARNC1,2015-07-13,2750-51210,P,noData
SPEAMARNC2,2016-06-26,2180-92600,P,noData
SPEAMARNC2,2016-08-06,2180-92600,P,noData
SPEAMARNC2,2016-09-27,2180-92600,P,noData
SPEAMARNC2,2016-11-03,2180-92600,P,noData
SPEAMARNC2,2016-12-24,2180-92600,P,noData
SPEAMARNC2,2017-01-13,2180-92600,P,noData
STACTIMPA1,2014-01-25,2641-97048,P,noData
STACTIMPA1,2014-01-25,2690-96173,P,noData
STACTIMPA1,2014-10-11,2641-97053,P,noData
STACTIMPA1,2014-10-11,2690-96173,P,noData
STACTIMPA1,2014-10-26,2690-96173,P,noData
STACTIMPA1,2014-11-02,2690-96173,P,noData
STACTIMPA1,2015-01-25,2641-97048,P,noData
STACTIMPA1,2015-01-25,2690-96173,P,noData
STACTIMPA1,2015-03-05,2690-96176,P,noData
STACTIMPA1,2015-03-29,2690-96176,P,noData
STACTIMPA1,2015-06-11,2690-96178,P,noData
STACTIMPA1,2016-02-08,2531-74672,P,noData
STACTIMPA1,2016-02-08,2531-74674,P,noData
STACTIMPA1,2016-02-08,2531-74676,P,noData
STACTIMPA1,2016-02-11,2531-74674,P,noData
STACTIMPA1,2016-02-11,2531-74676,P,noData
STACTIMPA1,2016-02-15,2531-74670,P,noData
STACTIMPA1,2016-02-15,2531-74676,P,noData
STACTIMPA1,2016-03-19,1352-45820,P,noData
STACTIMPA1,2016-10-30,2531-74674,P,noData
STANJEFMD1,2002-02-10,1141-05438,P,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resight 10 Feb + 6 Aug"
STANJEFMD1,2002-08-06,1141-05438,P,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resight 10 Feb + 6 Aug"
STANJEFMD1,2008-04-27,2251-80521,P,"yearColumn = 2006, banded June 17; yearColumn = 2008, resighted by participant 27 april"
STANJEFMD1,2009-06-13,2301-55933,P,"yearColumn = 2008, banded 11 June; yearColumn = 2009, resighted by participant 13 June"
STANJEFMD1,2011-07-22,2421-11663,P,"yearColumn = 2010, Captured 6/30/2010; yearColumn = 2011, resighted by participant 07/22/2011"
STEPJANMA1,2015-01-30,2581-97904,N,noData
STEWBETMD1,2008-03-26,2510-04307,P,"yearColumn = 2007, Banded 15 June; yearColumn = 2008, resight by participant 26 March"
STEWBETMD1,2008-05-02,1951-41090,P,"yearColumn = 2007, Banded 19 June; yearColumn = 2008, resighted by participant 2 May"
STEWBETMD1,2009-04-05,2301-56639,P,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 5 April"
STEWBETMD1,2009-05-13,2301-56636,P,"yearColumn = 2008, banded 7/8/08; yearColumn = 2009, Resight by participant, 5/13/2009"
