siteIDPc,datePc,obsPc,startTimePc,intervalPc,sppPc,count10Pc,count20Pc,count30Pc,count40Pc,count50Pc,detectionPc
WILLJIMFL1,2017-04-14,ERF,06:45,2,TUTI,0,1,0,0,1,A
WILLJIMFL1,2017-04-14,ERF,06:45,3,CACH,0,0,0,1,0,A
WILLJIMFL1,2017-04-14,ERF,06:45,3,CARW,0,0,1,0,0,A
WILLJIMFL1,2017-04-14,ERF,06:45,3,NOCA,0,1,1,1,1,A
WILLJIMFL1,2017-04-14,ERF,06:45,3,NOMO,0,1,0,0,0,B
WILLJIMFL1,2017-04-14,ERF,06:45,3,TUTI,0,1,0,0,0,A
WILLJIMFL1,2017-04-14,ERF,06:45,1,CARW,0,0,0,0,1,A
WILLJIMFL1,2017-04-14,ERF,06:45,1,NOCA,0,1,1,1,1,A
WILLJIMFL1,2017-04-14,ERF,06:45,1,TUTI,0,1,0,1,0,A
WILLJIMFL1,2017-04-14,ERF,06:45,2,CACH,0,0,0,1,0,A
WILLJIMFL1,2017-04-14,ERF,06:45,2,CARW,0,0,1,0,1,A
WILLMARGA1,2017-06-13,CLG,06:26,1,AMRO,0,1,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,1,NOCA,2,0,0,0,0,V
WILLMARGA1,2017-06-13,CLG,06:26,2,AMRO,0,1,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,2,CARW,0,1,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,2,NOCA,0,1,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,2,TUTI,0,1,0,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,3,AMRO,0,0,0,1,0,A
WILLMARGA1,2017-06-13,CLG,06:26,3,BRTH,0,0,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,3,NOCA,0,0,1,0,0,A
WILLMARGA1,2017-06-13,CLG,06:26,3,TUTI,0,0,1,0,0,A
WILTALLCO1,2017-06-20,MM,07:35,1,HOFI,1,1,0,0,0,A
WILTALLCO1,2017-06-20,MM,07:35,1,HOSP,0,1,0,0,0,B
WILTALLCO1,2017-06-20,MM,07:35,2,HOSP,4,0,0,0,0,V
WILTALLCO1,2017-06-20,MM,07:35,3,HOFI,0,0,0,0,2,A
WILTALLCO1,2017-06-20,MM,07:35,3,HOSP,0,0,2,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,AMRO,0,0,1,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,BRTH,0,1,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,1,CACH,0,1,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,1,CARW,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,HOWR,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,NOCA,0,0,0,1,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,NOCA,0,2,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,1,TUTI,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,1,TUTI,0,1,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,2,AMRO,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,2,CACH,0,0,1,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,2,HOWR,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,2,NOCA,0,3,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,2,SOSP,0,1,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,2,TUTI,0,0,1,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,3,AMRO,0,0,1,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,3,CACH,0,1,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,3,CARW,0,0,1,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,3,HOWR,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,3,NOCA,0,3,0,0,0,V
WINSEMIGA1,2017-04-28,CLG,08:45,3,TUTI,0,1,0,0,0,A
WINSEMIGA1,2017-04-28,CLG,08:45,3,TUTI,0,1,0,0,0,V
WINTCHAFL1,2017-03-29,ERF,07:00,1,CACH,0,0,1,0,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,1,CARW,0,0,1,0,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,1,CARW,0,2,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,1,NOCA,0,1,0,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,1,NOCA,2,0,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,1,NOMO,0,1,0,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,2,CACH,0,0,1,0,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,2,CARW,0,2,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,2,NOCA,0,1,1,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,2,NOCA,1,0,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,2,NOMO,0,1,0,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,2,TUTI,0,0,0,0,1,A
WINTCHAFL1,2017-03-29,ERF,07:00,3,CACH,0,0,0,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,3,CARW,0,0,1,0,1,A
WINTCHAFL1,2017-03-29,ERF,07:00,3,CARW,2,0,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,3,NOCA,0,0,0,1,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,3,NOCA,1,0,0,0,0,B
WINTCHAFL1,2017-03-29,ERF,07:00,3,NOMO,0,1,0,0,0,A
WINTCHAFL1,2017-03-29,ERF,07:00,3,TUTI,0,0,0,1,0,A
WISSDAMPA1,2017-06-13,LY,05:45,1,BLJA,1,0,0,0,2,B
