siteIDTechRs,dateTechRs,observerTechRs,timeTechRs,forayNumberTechRs,bandNumberTechRs,longTechRs,latTechRs,typeTechRs,notesTechRs
RINADAVMA1,2017-06-27,JLK,00:01,99999,1212-27638,99999,99999,I,noData
RINADAVMA1,2017-06-27,JLK,00:01,99999,2540-94518,99999,99999,I,noData
RINADAVMA1,2016-07-10,TMB,12:30,1,2571-83052,-72.68148,42.0592,F,noData
ROBELINNC1,2017-06-07,AJB,07:20,99999,2711-64163,99999,99999,noData,noData
ROBELINNC1,2017-06-07,AJB,10:14,1,2711-64183,-80.29038,36.1102,F,SOSP missing yellow band
ROBELINNC1,2017-06-07,AJB,10:56,1,0951-61578,-80.28833,36.11005,F,Located in same place as last year in a cul-de-sac about 220m east of participant's yard.
ROBIRONFL1,2017-04-24,ERF,09:40,1,2641-96752,-82.49002,29.70571,F,noData
ROBIRONFL1,2017-04-24,ERF,10:00,1,2661-31393,-82.48997,29.70558,F,noData
ROBIRONFL1,2017-04-24,ERF,10:30,1,2641-96748,-82.49139,29.70533,F,noData
ROBIRONFL1,2012-01-31,noData,00:01,99999,1991-18069,99999,99999,T,noData
ROBIRONFL1,2012-01-31,noData,00:01,99999,1991-18070,99999,99999,T,noData
ROBIRONFL1,2012-01-31,noData,00:01,99999,1991-18072,99999,99999,T,noData
ROBIRONFL1,2012-01-31,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2012-01-31,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2012-02-28,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2012-10-31,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2012-10-31,noData,00:01,99999,1991-18074,99999,99999,T,noData
ROBIRONFL1,2012-10-31,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2012-11-30,noData,00:01,99999,1991-18068,99999,99999,T,noData
ROBIRONFL1,2012-11-30,noData,00:01,99999,1991-18071,99999,99999,T,noData
ROBIRONFL1,2012-11-30,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2012-11-30,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2012-11-30,noData,00:01,99999,1991-18076,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18069,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18070,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18072,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18074,99999,99999,T,noData
ROBIRONFL1,2012-12-31,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2013-03-31,noData,00:01,99999,1991-18070,99999,99999,T,noData
ROBIRONFL1,2013-03-31,noData,00:01,99999,1991-18072,99999,99999,T,noData
ROBIRONFL1,2013-03-31,noData,00:01,99999,1991-18073,99999,99999,T,noData
ROBIRONFL1,2013-03-31,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2013-04-30,noData,00:01,99999,1991-18070,99999,99999,T,noData
ROBIRONFL1,2013-04-30,noData,00:01,99999,1991-18075,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2641-96752,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2661-31392,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2590-82054,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2590-82100,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2641-96749,99999,99999,T,noData
ROBIRONFL1,2016-04-06,ZZ,00:01,99999,2331-09151,99999,99999,T,noData
ROBISCOFL1,2017-06-08,ERF,08:07,1,2641-96670,-82.43767,29.64292,F,noData
ROBISCOFL1,2017-06-08,ERF,08:43,1,2710-54225,-82.43659,29.64288,F,noData
ROBISCOFL1,2017-06-08,ERF,09:05,1,2541-40468,-82.43827,29.64187,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2641-96671,99999,99999,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2531-99329,99999,99999,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2710-54225,99999,99999,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2641-96664,99999,99999,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2541-40469,99999,99999,F,noData
ROBISCOFL1,2016-06-08,ZZ,00:01,1,2541-40468,99999,99999,F,noData
ROHRSALMD1,2017-06-02,JLM,07:45,99999,2531-90281,-76.552773,38.8599,I,noData
ROHRSALMD1,2001-05-08,noData,00:01,99999,1920-85916,99999,99999,T,noData
ROHRSALMD1,2003-03-07,noData,00:01,99999,1920-85916,99999,99999,T,noData
ROHRSALMD1,2003-04-30,noData,00:01,99999,791-17033,99999,99999,T,noData
ROHRSALMD1,2009-07-30,noData,00:01,99999,2301-56597,99999,99999,T,noData
ROHRSALMD1,2009-07-30,noData,00:01,99999,2510-03802,99999,99999,T,noData
ROHRSALMD1,2010-06-04,noData,00:01,99999,2301-56597,99999,99999,T,noData
ROHRSALMD1,2014-05-18,noData,00:01,99999,2710-25971,99999,99999,T,noData
ROHRSALMD1,2015-05-07,noData,00:01,99999,2710-25968,99999,99999,T,noData
ROHRSALMD1,2016-06-22,"MAR, KJW",11:42,1,2570-44724,-76.5533,38.860502,F,noData
ROSEJOSMA1,2017-07-01,ASJ,10:15,1,2651-17112,-72.479683,42.378153,F,noData
ROSEJOSMA1,2014-06-01,noData,00:01,99999,1891-11048,99999,99999,T,noData
ROSEJOSMA1,2016-06-04,TMB,11:00,99999,2651-17111,-72.47962,42.37844,I,noData
ROSETRANC1,2017-06-04,AJB,08:45,99999,2180-92547,99999,99999,I,noData
ROSETRANC1,2017-06-04,AJB,11:05,1,2711-64150,-79.07756,34.95079,F,noData
RUSSJODMD1,2009-07-23,noData,00:01,99999,2281-69420,99999,99999,T,noData
SALAJENMD1,2009-07-09,noData,00:01,99999,2301-56809,99999,99999,T,noData
SALAJENMD1,2010-06-23,noData,00:01,99999,2441-14209,99999,99999,T,noData
SALAJENMD1,2010-07-24,noData,00:01,99999,2441-14209,99999,99999,T,noData
SALITYLNC1,2016-07-08,AJB,09:30,99999,2180-92572,99999,99999,P,noData
SALITYLNC1,2016-07-08,AJB,09:45,99999,2711-64168,99999,99999,I,noData
SALITYLNC1,2017-06-28,AJB,08:00,99999,2711-64167,99999,99999,I,noData
SALITYLNC1,2017-06-28,AJB,08:15,99999,0951-61584,99999,99999,I,noData
SALOSHEMD1,2002-05-22,noData,00:01,99999,1141-05743,99999,99999,T,noData
SALOSHEMD1,2003-08-01,noData,00:01,99999,1721-48525,99999,99999,T,noData
SALOSHEMD1,2004-06-24,noData,00:01,99999,1721-48525,99999,99999,T,noData
SALOSHEMD1,2009-06-22,noData,00:01,99999,1951-41109,99999,99999,T,noData
