region,siteID,dateVisit,species,birdID,timeEnc,observerCapture,typeCapture,bandNumber,colorComboL,colorComboR,age,sex,dispositionCode
Atlanta,TIDMLOUGA1,2014-07-18,AMRO,1272-42472,NA,NA,B,1272-42472,G,YX,AHY,F,1
Atlanta,TIDMLOUGA1,2014-07-18,NOMO,1272-42472,NA,NA,B,1272-42472,X,X,AHY,F,1
Atlanta,ARABMOUGA1,2014-07-20,AMRO,1272-42472,NA,NA,B,1272-42472,G,YX,AHY,U,1
Atlanta,ARABMOUGA1,2014-07-20,NOMO,1272-42472,NA,NA,B,1272-42472,X,X,AHY,U,1
Gainesville,GRINJENFL1,2012-07-27,BRTH,1292-71348,NA,NA,B,1292-71348,WX,K,AHY,F,1
Gainesville,GRINJENFL1,2012-07-27,NOCA,1292-71348,NA,NA,B,1292-71348,X,GW,AHY,F,1
Gainesville,BLOOLEEFL1,2012-07-30,BRTH,1292-71348,NA,NA,B,1292-71348,WX,K,AHY,U,1
Gainesville,BLOOLEEFL1,2012-07-30,NOCA,1292-71348,NA,NA,B,1292-71348,X,GW,AHY,U,1
DC,BAILEESVA1,2015-06-15,AMRO,1352-46571,NA,NA,B,1352-46571,X,GP,AHY,M,1
DC,BAILEESVA1,2015-06-15,NOMO,1352-46571,NA,NA,B,1352-46571,XO,Y,AHY,M,1
DC,OLONMARDC1,2016-07-21,AMRO,1352-46571,07:56:00,JLM,B,1352-46571,X,GP,AHY,U,1
DC,OLONMARDC1,2016-07-21,NOMO,1352-46571,07:56:00,JLM,B,1352-46571,XO,Y,AHY,U,1
Pittsburgh,HASHTAMPA1,2014-08-04,CARW,2441-96580,NA,NA,B,2441-96580,-,XW,SY,M,1
Pittsburgh,HASHTAMPA1,2014-08-04,SOSP,2441-96580,NA,NA,B,2441-96580,G,GX,SY,M,1
Pittsburgh,LEEJOEPA1,2015-05-15,CARW,2441-96580,NA,NA,B,2441-96580,-,XW,ASY,M,1
Pittsburgh,LEEJOEPA1,2015-05-15,SOSP,2441-96580,NA,NA,B,2441-96580,G,GX,ASY,M,1
DC,LIEBJUDMD1,2015-06-11,GRCA,2531-74597,NA,NA,B,2531-74597,K,YX,ASY,M,1
DC,LIEBJUDMD1,2015-06-11,NOCA,2531-74597,NA,NA,B,2531-74597,Y,XB,ASY,M,1
Pittsburgh,MOORMATPA1,2015-06-23,GRCA,2531-74597,NA,NA,B,2531-74597,K,YX,AHY,F,1
Pittsburgh,MOORMATPA1,2015-06-23,NOCA,2531-74597,NA,NA,B,2531-74597,Y,XB,AHY,F,1
DC,REITBOBMD1,2016-04-13,CARW,2541-40475,08:30:00,"JLM,KPK",B,2541-40475,X,KB,AHY,F,1
DC,REITBOBMD1,2016-04-13,SOSP,2541-40475,08:30:00,"JLM,KPK",B,2541-40475,BX,B,AHY,F,1
DC,REITBOBMD1,2016-04-13,CARW,2541-40475,10:00:00,"JLM,KPK",B,2541-40475,X,KB,AHY,U,1
DC,REITBOBMD1,2016-04-13,SOSP,2541-40475,10:00:00,"JLM,KPK",B,2541-40475,BX,B,AHY,U,1
Gainesville,PRESPENFL1,2013-07-08,CARW,2661-07740,NA,NA,B,2661-07740,X,OK,AHY,F,1
Gainesville,PRESPENFL1,2013-07-08,TUTI,2661-07740,NA,NA,B,2661-07740,GG,X,AHY,F,1
