"site","Lat","Long"
"A",38.701864,-76.547428
"B",38.908401,-77.141237
"C",38.923701,-77.344691
"D",38.985695,-77.056624
"E",38.9940209,-77.053261
"F",38.969384,-77.143132
"G",39.006581,-76.954216
"H",39.113222,-76.4634559
"I",38.974092,-77.001426
"J",38.915823,-77.357085
"K",38.973981,-76.794801
"L",39.105421,-76.544845
"M",38.975678,-77.0044999
"N",39.3785005,-76.6247706
"O",38.643016,-76.998514
"P",39.1266869,-76.548147
"Q",38.8998161,-77.0534793
"R",38.961607,-76.486058
"S",38.741523,-77.264527
"T",38.86521,-77.417784
"W",39.014336,-77.022476
"X",39.062453,-76.928893
"Y",38.675648,-77.023009
"Z",38.997639,-77.227465
"A0",39.39505,-76.588726
"A1",39.296883,-77.1744779
"A2",38.91961,-77.047295
"A3",38.986184,-76.582544
"A4",39.311968,-76.9875121
"A5",39.156593,-76.844151
"A9",39.091509,-76.592053
"A10",38.620588,-77.353191
"A11",39.114851,-77.040869
"A12",39.682552,-76.585205
"A13",39.2755107,-76.7823294
"A14",38.5030314,-77.4931403
"A15",38.8984088,-77.0966863
"A16",39.0418,-76.600191
"A17",38.9054379,-77.161137
"A18",38.911387,-77.030058
"A20",38.719745,-77.050956
"A21",38.9477509,-77.109536
"A22",38.865283,-77.144797
"A23",39.057841,-77.1347849
"A24",38.985337,-77.02016
"A25",38.988852,-77.017809
"A26",38.912796,-77.131606
"A27",38.965551,-76.571523
"A28",38.900944,-77.131975
"A29",38.669927,-77.394082
"A30",39.376227,-76.666452
"A31",38.909098,-77.057245
"A35",39.0889058,-76.6004572
"A36",38.884775,-77.122382
"A37",38.8873203,-77.1299429
"A38",38.779326,-76.859476
"A39",38.999261,-77.118948
"A40",38.923338,-77.162226
"A41",39.205928,-77.234168
"A42",38.964377,-77.094257
"A43",39.6520719,-76.580842
"A44",39.089982,-76.5836379
"A45",38.975772,-77.0555679
"A46",38.8094545,-77.6170226
"A47",38.9755899,-77.059128
"A48",38.932901,-76.498238
