siteID,region
AINSKYLGA1,Atlanta
ALCOKENGA1,Atlanta
ALLERILGA1,Atlanta
ANDEREBGA1,Atlanta
ARABMOUGA1,Atlanta
ARGYLESGA1,Atlanta
ASTOLAUGA1,Atlanta
BAKEBONGA1,Atlanta
BEARJUSGA1,Atlanta
BELMNIKGA1,Atlanta
BINKJAMGA1,Atlanta
BONNPATGA1,Atlanta
BRADVALGA1,Atlanta
BRAXBOBGA1,Atlanta
BURNEESGA1,Atlanta
CARTJOYGA1,Atlanta
CASSKATGA1,Atlanta
CHALMICGA1,Atlanta
CHAMPAUGA1,Atlanta
CHANSYLGA1,Atlanta
CLAYRUSGA1,Atlanta
COOKGLOGA1,Atlanta
COOPEMSGA1,Atlanta
CZEBANGGA1,Atlanta
DAVICARGA1,Atlanta
DAVIJENGA1,Atlanta
DECKJASGA1,Atlanta
DECKJASGA2,Atlanta
DESIELAGA1,Atlanta
DICKEMMGA1,Atlanta
DIMMDIAGA1,Atlanta
DISALINGA1,Atlanta
DUKTJOHGA1,Atlanta
DULUADVGA1,Atlanta
EDWALINGA1,Atlanta
ENDRCINGA1,Atlanta
FALKSTEGA1,Atlanta
FEDRMARGA1,Atlanta
FERNBANGA1,Atlanta
FLOWANGGA1,Atlanta
FLOWPATGA1,Atlanta
FURRMELGA1,Atlanta
FUTCROBGA1,Atlanta
GHILCOLGA1,Atlanta
GITHFRAGA1,Atlanta
GORDMARGA1,Atlanta
GREERITGA1,Atlanta
HAMINANGA1,Atlanta
HARRMARGA1,Atlanta
HARTDELGA1,Atlanta
HAWKDIAGA1,Atlanta
HEADDOTGA1,Atlanta
HERBMIRGA1,Atlanta
HEROBLUGA1,Atlanta
HITTJODGA1,Atlanta
HOGAMELGA1,Atlanta
HOPKMARGA1,Atlanta
HORNMARGA1,Atlanta
HOUSJONGA1,Atlanta
HOYTHARGA1,Atlanta
JENKANGGA1,Atlanta
JENKANGGA2,Atlanta
JETTMELGA1,Atlanta
JOHNSCOGA1,Atlanta
JONEFAIGA1,Atlanta
KILGJACGA1,Atlanta
KIMBMARGA1,Atlanta
KIPPVISGA1,Atlanta
KOTCMELGA1,Atlanta
KRENMARGA1,Atlanta
KRIVMAUGA1,Atlanta
LANTTOMGA1,Atlanta
LEEDONGA1,Atlanta
LENTTERGA1,Atlanta
MARIJAYGA1,Atlanta
MAYECINGA1,Atlanta
MAYECINGA2,Atlanta
MAYOAMAGA1,Atlanta
MCCAANNGA1,Atlanta
MCCABARGA1,Atlanta
MILLELLGA1,Atlanta
MURPMICGA1,Atlanta
MURRSANGA1,Atlanta
NEWMCHRGA1,Atlanta
NICKAESGA1,Atlanta
NORTLAUGA1,Atlanta
PAINTOMGA1,Atlanta
PAPPLISGA1,Atlanta
PARKDIAGA1,Atlanta
PLANANDGA1,Atlanta
POVEANGGA1,Atlanta
PRITANGGA1,Atlanta
PROCSONGA1,Atlanta
RICHLAUGA1,Atlanta
RICHMSGA1,Atlanta
RIVEPATGA1,Atlanta
RIVEPATGA2,Atlanta
RYLAJANGA1,Atlanta
SAPPBILGA1,Atlanta
SARUANJGA1,Atlanta
SHERNYLGA1,Atlanta
SMOKELEGA1,Atlanta
STEPMARGA1,Atlanta
STOKNITGA1,Atlanta
STRAELEGA1,Atlanta
SWALDAWGA1,Atlanta
TALEKELGA1,Atlanta
TIDMLOUGA1,Atlanta
TOTHCARGA1,Atlanta
TRACBRIGA1,Atlanta
WICHJOHGA1,Atlanta
WILEKATGA1,Atlanta
WILLMARGA1,Atlanta
WINSEMIGA1,Atlanta
WISSSTEGA1,Atlanta
WOODMIDGA1,Atlanta
ZARYPEGGA1,Atlanta
ADAMELEVA1,DC
AMERICOMD1,DC
ANACMUSDC1,DC
ANDEMIKMD1,DC
ANDRKENVA1,DC
ARLINESVA1,DC
ASSMCARMD1,DC
BAILEESVA1,DC
BAINANDMD1,DC
BAKEKYLDC1,DC
BALAELEMD1,DC
BALASUCMD1,DC
BANCRESDC1,DC
BARBJERMD1,DC
BARNDORMD1,DC
BAUGSHEVA1,DC
BEALTOMMD1,DC
BERGMICMD1,DC
BERNCHRMD1,DC
BILLPAIDC1,DC
BLADENSDC1,DC
BLANBETMD1,DC
BLOCDAVMD1,DC
BOONGREMD1,DC
BOONGREMD2,DC
BORGRACMD1,DC
BOSCJOEDC1,DC
