colorL,colorR
WR,GX
RY,YX
BB,BX
YR,YX
GX,YY
RB,GX
RX,WG
GG,GX
BX,RB
OX,YO
RB,OX
BX,OB
OW,BX
BX,WY
GG,YX
WY,YX
OX,RG
YG,OX
GX,WR
BX,GY
OX,GB
YX,OB
OW,RX
RO,BX
WX,YR
GX,OB
BW,RX
GO,GX
BW,YX
OB,GX
WX,RR
YX,BY
RX,WW
GB,OX
OW,GX
WX,GY
BX,WG
RX,RG
BG,YX
OX,RO
OR,WX
WX,RG
GB,YX
WX,OW
YX,WO
OO,YX
YY,YX
GX,OO
WG,GX
WX,RO
YO,WX
WX,GB
RY,WX
YX,WR
RX,YG
YX,BW
YB,YX
YX,WB
OO,BX
WB,RX
YG,YX
OY,WX
RX,WO
GX,BB
RX,YR
WY,OX
RX,BW
OX,YY
BX,BY
WY,WX
GX,BW
WX,OB
BX,YO
RY,BX
OX,YW
GB,WX
BG,WX
BG,OX
WX,WB
GW,GX
RX,BY
YX,WG
OX,BG
RX,BO
RX,OW
WR,YX
YW,RX
OX,WR
GX,RO
OX,WO
YX,GY
RX,GY
OX,YB
BY,BX
BW,WX
YX,GB
GX,RB
OY,YX
YX,YB
BY,RX
GB,RX
RX,OG
GW,BX
GG,WX
WX,OR
YX,GO
WX,GO
YX,OY
OY,OX
YW,OX
RW,BX
BW,BX
OG,OX
WW,RX
YX,BB
GX,YG
GG,BX
WX,OY
YO,RX
WG,RX
GW,WX
GR,YX
BG,BX
WX,BG
RX,WY
WG,YX
WX,BR
BW,GX
GX,WO
BX,WW
GX,BY
BO,RX
RW,WX
WX,BW
GX,OR
RX,GW
WR,RX
BX,RG
WR,WX
YX,GW
RX,RY
RX,GB
WB,BX
RR,YX
RG,RX
GX,WB
OX,BB
BX,YB
RO,OX
YY,RX
OR,OX
GR,OX
OO,WX
YB,OX
RO,GX
OX,BO
GW,OX
WX,GW
WX,WR
BX,OW
GO,OX
RX,GO
BW,OX
WG,OX
OX,RW
RX,YO
RX,YB
WO,RX
OX,OY
WX,WG
OX,RR
WO,BX
GX,BG
WX,WW
YB,GX
YG,BX
OX,OG
WG,WX
RW,OX
BR,RX
BX,OO
GX,GR
RB,YX
RX,GR
YY,BX
YX,BR
OG,RX
RX,BG
GX,YB
RR,GX
BO,BX
OB,YX
OX,WG
GW,YX
YX,OG
RY,RX
OG,BX
YG,GX
RB,WX
YW,BX
OX,OW
RX,RW
OO,OX
GX,OW
YX,WY
GR,WX
GX,WG
BX,WO
WX,YG
GX,GB
WO,WX
YX,OW
BB,GX
BX,GG
WX,YB
BB,YX
OX,WW
YG,RX
WX,YW
BY,OX
WX,RB
WX,BB
GG,OX
BB,WX
WX,RY
OO,RX
WW,OX
RX,OB
BY,WX
BX,BW
YW,YX
YR,GX
WW,WX
RY,OX
OX,BY
OR,BX
OW,WX
OX,WB
YX,RW
GX,OY
RO,YX
BX,OR
RG,WX
RX,RO
BX,WR
