siteID,date,observer,time,bandNumber,longitude,latitude,resightType,notes
SULLPAUVA1,2001-03-15,NA,NA,1920-85883,NA,NA,T,"yearColumn = 2000, banded 8 May; yearColumn = 2001, Resighted"
BARBJERMD1,2001-03-15,NA,NA,1920-85906,NA,NA,T,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted; yearColumn = 2002, recap 20 May; recap 18 Sept"
HUTCBARVA1,2001-06-22,NA,NA,1920-85927,NA,NA,T,"yearColumn = 2000, banded 17 June; yearColumn = 2001, resighted 22 June"
BRUEELIMD1,2001-05-26,NA,NA,1141-05727,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 26 May"
GOUGGREMD1,2001-03-15,NA,NA,791-17747,NA,NA,T,"yearColumn = 2000, banded 15 june; yearColumn = 2001, resighted; yearColumn = 2002, resighted 15 June"
RABIANDMD1,2001-06-20,NA,NA,791-17750,NA,NA,T,"yearColumn = 2000, banded 20 July; yearColumn = 2001, resighted 20 June; yearColumn = 2002, resighted 27 June"
BARBJERMD1,2001-06-08,NA,NA,1920-85905,NA,NA,T,"yearColumn = 2000, banded 2 June; yearColumn = 2001, resighted 8 June; yearColumn = 2002, recaptured 20 May"
TUFTKATMD1,2001-04-02,NA,NA,791-17801,NA,NA,T,"yearColumn = 2000, banded 7 June; yearColumn = 2001, resight 2 April; yearColumn = 2002, resight 1 August; yearColumn = 2003, resight 24 march by participant"
REITBOBMD1,2001-06-15,NA,NA,791-17802,NA,NA,T,"yearColumn = 2000, banded 7 June; yearColumn = 2001, resighted in June"
ROHRSALMD1,2001-05-08,NA,NA,1920-85916,NA,NA,T,"yearColumn = 2000, banded 13 June; yearColumn = 2001, resighted 8 May; yearColumn = 2003, resighted 7 March"
HUTCBARVA1,2001-06-22,NA,NA,1141-05734,NA,NA,T,"yearColumn = 2000, banded 17 June; yearColumn = 2001, resighted 22 June; yearColumn = 2002, resighted July"
MAHOJIMMD1,2001-06-04,NA,NA,1920-85926,NA,NA,T,"yearColumn = 2000, banded 16 June; yearColumn = 2001, banded 24 May; yearColumn = 2001, resighted 4 June"
BRUEELIMD1,2001-05-26,NA,NA,1141-05723,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 26 May"
BRUEELIMD1,2001-05-09,NA,NA,1141-05724,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 9 May; yearColumn = 2002, resighted 22 April"
GOCHJOAMD1,2001-03-15,NA,NA,791-17825,NA,NA,T,"yearColumn = 2000, banded 7 july; yearColumn = 2001, resighted"
BARBJERMD1,2001-06-08,NA,NA,1920-85907,NA,NA,T,"yearColumn = 2000, banded 2 June; yearColumn = 2001, resighted 8 June"
BRUEELIMD1,2001-05-03,NA,NA,1920-85920,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 3 May; yearColumn = 2002, resighted 16 April"
PERRCHRMD1,2002-04-07,NA,NA,1920-85879,NA,NA,T,"yearColumn = 2000, banded 28 April; yearColumn = 2002, resighted 7 April; yearColumn = 2003, resighted 3 April by participant"
