siteID,date,observer,number,startTime,endTime,pathDistance
GAETHEAMD1,2016-04-28,JLM,1,11:00,11:45,1330
EVANMICMD1,2016-04-28,KPK,1,12:19,13:14,1433
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",1,10:40,11:30,3600
FURRMELGA1,2016-03-24,"JLD,BNT",1,11:15,12:00,-99999
DUFFSHAFL1,2016-03-22,ZZ,1,07:30,09:15,337
GOWAJOAFL1,2016-03-24,ZZ,1,07:30,09:00,2670
HANLCORFL1,2016-03-29,ZZ,1,08:30,09:30,-99999
MILLMARFL1,2016-03-31,ZZ,1,07:20,09:00,-99999
HERRJAYFL1,2016-04-01,ZZ,1,07:15,08:45,-99999
PLACGIRFL1,2016-04-03,ZZ,1,07:20,09:00,-99999
PROWGARFL1,2016-04-04,ZZ,1,07:15,08:45,-99999
KNOXMIKFL1,2016-04-05,ZZ,1,07:10,08:45,-99999
ROBIRONFL1,2016-04-06,ZZ,1,08:45,10:00,-99999
WILLJIMFL1,2016-04-07,ZZ,1,07:20,08:45,-99999
ELLIJONFL1,2016-04-10,ZZ,1,07:40,09:00,-99999
FLAGMARFL1,2016-04-11,ZZ,1,07:25,09:00,-99999
CASEANNFL1,2016-04-12,ZZ,1,07:20,09:00,-99999
CARLDAVFL1,2016-04-13,ZZ,1,07:25,08:45,-99999
FREEJOHFL1,2016-04-16,ZZ,1,07:15,08:45,-99999
CHERNADFL1,2016-04-18,ZZ,1,07:10,08:30,-99999
BOUGROBFL1,2016-04-19,ZZ,1,07:05,08:45,-99999
STRARICFL1,2016-04-20,ZZ,1,07:10,08:45,-99999
WINTCHAFL1,2016-04-22,ZZ,1,07:05,08:45,-99999
LAUESARFL1,2016-04-23,ZZ,1,07:05,09:15,-99999
TRACBRIGA1,2016-03-21,"JLD,BNT",1,00:01,NA:NA,-99999
AAROJESFL1,2016-04-21,ZZ,1,07:10,08:45,-99999
ANDRJENFL1,2016-03-29,ZZ,1,07:15,08:15,-99999
BANDCATFL1,2016-03-28,ZZ,1,07:20,09:00,-99999
BLOOLEEFL1,2016-04-08,ZZ,1,07:00,08:30,-99999
BLOOLEEFL1,2016-04-08,ZZ,1,07:00,09:30,-99999
CROSLEXFL1,2016-03-27,ZZ,1,07:30,09:00,1644
COLLKEIFL1,2016-04-25,ZZ,1,07:10,08:45,-99999
KENTADAFL1,2016-04-26,ZZ,1,07:10,09:30,-99999
CIBUJEAFL1,2016-04-27,ZZ,1,07:10,08:45,-99999
NATUAREFL1,2016-04-28,ZZ,1,07:35,09:15,-99999
BREMSARFL1,2016-05-01,ZZ,1,07:25,08:30,-99999
GRINJENFL1,2016-05-01,ZZ,1,09:00,10:00,-99999
COOKGLOGA1,2016-04-11,JLD,1,11:45,00:42,-99999
BEARJUSGA1,2016-04-14,JLD,1,11:25,00:35,-99999
STRAELEGA1,2016-04-15,JLD,1,11:35,00:27,-99999
KOTCMELGA1,2016-04-18,JLD,1,11:38,00:14,-99999
