siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
SULLPAUVA1,2001-03-15,NA,NA,noData,1920-85883,NA,NA,T,NA
BARBJERMD1,2001-03-15,NA,NA,noData,1920-85906,NA,NA,T,NA
HUTCBARVA1,2001-06-22,NA,NA,noData,1920-85927,NA,NA,T,NA
BRUEELIMD1,2001-05-26,NA,NA,noData,1141-05727,NA,NA,T,NA
GOUGGREMD1,2001-03-15,NA,NA,noData,791-17747,NA,NA,T,NA
RABIANDMD1,2001-06-20,NA,NA,noData,791-17750,NA,NA,T,NA
BARBJERMD1,2001-06-08,NA,NA,noData,1920-85905,NA,NA,T,NA
TUFTKATMD1,2001-04-02,NA,NA,noData,791-17801,NA,NA,T,NA
REITBOBMD1,2001-06-15,NA,NA,noData,791-17802,NA,NA,T,NA
ROHRSALMD1,2001-05-08,NA,NA,noData,1920-85916,NA,NA,T,NA
HUTCBARVA1,2001-06-22,NA,NA,noData,1141-05734,NA,NA,T,NA
MAHOJIMMD1,2001-06-04,NA,NA,noData,1920-85926,NA,NA,T,NA
BRUEELIMD1,2001-05-26,NA,NA,noData,1141-05723,NA,NA,T,NA
BRUEELIMD1,2001-05-09,NA,NA,noData,1141-05724,NA,NA,T,NA
GOCHJOAMD1,2001-03-15,NA,NA,noData,791-17825,NA,NA,T,NA
BARBJERMD1,2001-06-08,NA,NA,noData,1920-85907,NA,NA,T,NA
BRUEELIMD1,2001-05-03,NA,NA,noData,1920-85920,NA,NA,T,NA
PERRCHRMD1,2002-04-07,NA,NA,noData,1920-85879,NA,NA,T,NA
JONECBRMD1,2002-06-11,NA,NA,noData,791-17804,NA,NA,T,NA
GOUGGREMD1,2002-06-20,NA,NA,noData,1141-05729,NA,NA,T,NA
GOUGGREMD1,2002-06-23,NA,NA,noData,791-17746,NA,NA,T,NA
CALLJERMD1,2002-07-15,NA,NA,noData,791-17816,NA,NA,T,NA
SALOSHEMD1,2002-05-22,NA,NA,noData,1141-05743,NA,NA,T,NA
HEATSUEVA1,2002-03-04,NA,NA,noData,1920-85943,NA,NA,T,NA
FERRSUEMD1,2002-06-04,NA,NA,noData,791-17822,NA,NA,T,NA
MCKEANNVA1,2002-07-03,NA,NA,noData,1141-05746,NA,NA,T,NA
DORNROBMD1,2002-06-11,NA,NA,noData,791-17829,NA,NA,T,NA
KOSLDREMD1,2002-05-30,NA,NA,noData,791-17003,NA,NA,T,NA
KOSLDREMD1,2002-05-30,NA,NA,noData,820-94561,NA,NA,T,NA
HAMMBARMD1,2002-05-27,NA,NA,noData,1141-05771,NA,NA,T,NA
HAMMBARMD1,2002-05-27,NA,NA,noData,820-94570,NA,NA,T,NA
MORAJANMD1,2002-05-15,NA,NA,noData,791-17015,NA,NA,T,NA
GOUGGREMD1,2002-06-15,NA,NA,noData,791-17747,NA,NA,T,NA
MCKEANNVA1,2002-07-03,NA,NA,noData,1920-85951,NA,NA,T,NA
RABIANDMD1,2002-06-27,NA,NA,noData,791-17750,NA,NA,T,NA
WELLCARMD1,2002-07-13,NA,NA,noData,820-94595,NA,NA,T,NA
TINIKATMD1,2002-05-15,NA,NA,noData,820-94593,NA,NA,T,NA
WISECELMD1,2002-05-19,NA,NA,noData,791-17020,NA,NA,T,NA
WISECELMD1,2002-05-10,NA,NA,noData,1141-05776,NA,NA,T,NA
MOLIKARMD1,2002-06-17,NA,NA,noData,1751-51970,NA,NA,T,NA
CAINBRIMD1,2002-06-29,NA,NA,noData,1751-51978,NA,NA,T,NA
CAINBRIMD1,2002-06-29,NA,NA,noData,1751-51977,NA,NA,T,NA
HAMIMARMD1,2002-04-15,NA,NA,noData,1751-51999,NA,NA,T,NA
NICHALIMD1,2002-06-09,NA,NA,noData,2250-24008,NA,NA,T,NA
WILLRAJMD1,2002-06-22,NA,NA,noData,1141-05790,NA,NA,T,NA
SINGTONMD1,2002-06-08,NA,NA,noData,791-17024,NA,NA,T,NA
GEHRDALMD1,2002-07-09,NA,NA,noData,1751-51968,NA,NA,T,NA
CAINBRIMD1,2002-06-29,NA,NA,noData,2250-24004,NA,NA,T,NA
CAINBRIMD1,2002-06-29,NA,NA,noData,1141-05549,NA,NA,T,NA
HERBJOAMD1,2002-07-11,NA,NA,noData,791-17049,NA,NA,T,NA
GOUGGREMD1,2002-10-09,NA,NA,noData,1751-51946,NA,NA,T,NA
GOUGGREMD1,2002-06-20,NA,NA,noData,1751-51945,NA,NA,T,NA
LUCIDANMD1,2002-06-21,NA,NA,noData,1751-51954,NA,NA,T,NA
CARLSHIMD1,2002-05-01,NA,NA,noData,791-17047,NA,NA,T,NA
FARYSIMMD1,2002-07-15,NA,NA,noData,1141-05602,NA,NA,T,NA
MISBJANMD1,2002-09-13,NA,NA,noData,1751-51943,NA,NA,T,NA
BARBJERMD1,2002-05-20,NA,NA,noData,1141-05594,NA,NA,T,NA
BARBJERMD1,2002-04-02,NA,NA,noData,1152-87532,NA,NA,T,NA
OBRICHRMD1,2002-06-29,NA,NA,noData,1141-05609,NA,NA,T,NA
OBRICHRMD1,2002-06-29,NA,NA,noData,1141-05610,NA,NA,T,NA
COLALISMD1,2002-03-05,NA,NA,noData,1751-51918,NA,NA,T,NA
MALLBARMD1,2002-04-19,NA,NA,noData,1141-05440,NA,NA,T,NA
BERNCHRMD1,2002-04-28,NA,NA,noData,1141-05626,NA,NA,T,NA
SANFCARMD1,2002-05-14,NA,NA,noData,1141-05591,NA,NA,T,NA
SANFCARMD1,2002-05-14,NA,NA,noData,1751-51934,NA,NA,T,NA
WINGJERMD1,2002-07-09,NA,NA,noData,1141-05603,NA,NA,T,NA
MCCAKEVMD1,2002-05-23,NA,NA,noData,1751-51915,NA,NA,T,NA
KORRHARMD1,2002-06-21,NA,NA,noData,1751-51937,NA,NA,T,NA
KORRHARMD1,2002-06-21,NA,NA,noData,1141-05584,NA,NA,T,NA
RAUNERIMD1,2002-03-23,NA,NA,noData,1141-05580,NA,NA,T,NA
LERNJEFMD1,2002-05-13,NA,NA,noData,2250-24074,NA,NA,T,NA
HARWRANDC1,2002-06-24,NA,NA,noData,1141-05446,NA,NA,T,NA
