siteID,dateVisit,observerVisit,participantEngagement,encounteredBirds,netHours,notesVisit
HUNTDAVMD1,2000-04-23,NA,NA,NA,NA,NA
HAMIMARMD1,2000-04-28,NA,NA,NA,NA,NA
PERRCHRMD1,2000-04-28,NA,NA,NA,NA,NA
LUCIDANMD1,2000-04-30,NA,NA,NA,NA,NA
SULLPAUVA1,2000-05-08,NA,NA,NA,NA,NA
MCKEJANMD1,2000-05-12,NA,NA,NA,NA,NA
COLALISMD1,2000-05-12,NA,NA,NA,NA,NA
EDEREDWVA1,2000-05-18,NA,NA,NA,NA,NA
SULLPAUVA1,2000-05-18,NA,NA,NA,NA,NA
MASIADRMD1,2000-05-23,NA,NA,NA,NA,NA
WALTBONMD1,2000-05-25,NA,NA,NA,NA,NA
MCLERICMD1,2000-05-26,NA,NA,NA,NA,NA
DANIBARMD1,2000-06-01,NA,NA,NA,NA,NA
TATEJUAMD1,2000-06-01,NA,NA,NA,NA,NA
RAUNERIMD1,2000-06-02,NA,NA,NA,NA,NA
MOSMCARMD1,2000-06-02,NA,NA,NA,NA,NA
OBRICHRMD1,2000-06-02,NA,NA,NA,NA,NA
BARBJERMD1,2000-06-02,NA,NA,NA,NA,NA
MOSMCARMD1,2000-06-03,NA,NA,NA,NA,NA
BARBJERMD1,2000-06-03,NA,NA,NA,NA,NA
RAYTIMMD1,2000-06-07,NA,NA,NA,NA,NA
TUFTKATMD1,2000-06-07,NA,NA,NA,NA,NA
REITBOBMD1,2000-06-07,NA,NA,NA,NA,NA
JONECBRMD1,2000-06-09,NA,NA,NA,NA,NA
MILLPAUMD1,2000-06-09,NA,NA,NA,NA,NA
HADDMARMD1,2000-06-11,NA,NA,NA,NA,NA
ROHRSALMD1,2000-06-13,NA,NA,NA,NA,NA
BRUEELIMD1,2000-06-14,NA,NA,NA,NA,NA
MANNJANDC1,2000-06-14,NA,NA,NA,NA,NA
GOUGGREMD1,2000-06-15,NA,NA,NA,NA,NA
MAHOJIMMD1,2000-06-16,NA,NA,NA,NA,NA
HUTCBARVA1,2000-06-17,NA,NA,NA,NA,NA
ODELVINMD1,2000-06-21,NA,NA,NA,NA,NA
BLOCDAVMD1,2000-06-21,NA,NA,NA,NA,NA
GOCHJOAMD1,2000-06-23,NA,NA,NA,NA,NA
CALLJERMD1,2000-06-29,NA,NA,NA,NA,NA
SALOSHEMD1,2000-06-29,NA,NA,NA,NA,NA
HEATSUEVA1,2000-06-30,NA,NA,NA,NA,NA
FERRSUEMD1,2000-06-30,NA,NA,NA,NA,NA
REITBOBMD1,2000-07-01,NA,NA,NA,NA,NA
FERRSUEMD1,2000-07-05,NA,NA,NA,NA,NA
MCKEANNVA1,2000-07-06,NA,NA,NA,NA,NA
GOCHJOAMD1,2000-07-07,NA,NA,NA,NA,NA
BALAELEMD1,2000-07-12,NA,NA,NA,NA,NA
MCCOJOHMD1,2000-07-13,NA,NA,NA,NA,NA
SINGTONMD1,2000-07-14,NA,NA,NA,NA,NA
RABIANDMD1,2000-07-20,NA,NA,NA,NA,NA
DORNROBMD1,2000-07-21,NA,NA,NA,NA,NA
MITCBARMD1,2000-07-22,NA,NA,NA,NA,NA
OMLAKEVMD1,2000-07-24,NA,NA,NA,NA,NA
GALLMONVA1,2000-07-25,NA,NA,NA,NA,NA
GALLTERMD1,2000-07-25,NA,NA,NA,NA,NA
KOSLDREMD1,2001-03-15,NA,NA,NA,NA,NA
COFFMICMD1,2001-03-22,NA,NA,NA,NA,NA
