siteID,dateVisit,time,obs,enc,spp,bandNumber,colorL,colorR,mass,wing,tl,age,sex,cpBp,fat,bloodID,featherID,notes
HAMIMARMD1,2000-04-28,NA,NA,B,CACH,1920-85878,W,XM,10.4,63.5,NA,AHY,M,NA,NA,,,
HAMIMARMD1,2000-04-28,NA,NA,B,CACH,1920-85877,X,YG,9.6,60.5,NA,U,F,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,CACH,1920-85881,KX,G,10.1,64.5,55.0,U,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,CACH,1920-85880,YX,Y,10.8,60.5,NA,U,F,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,CACH,1920-85879,GR,X,9.7,61.0,48.0,U,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,NOCA,791-17732,-,UNK,46.5,92.0,94.0,AHY,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,NOCA,791-17732,-,UNK,46.5,NA,94.0,AHY,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,NOCA,791-17732,-,UNK,45.8,92.0,NA,AHY,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,NOCA,791-17732,-,UNK,45.8,NA,NA,AHY,M,NA,NA,,,
PERRCHRMD1,2000-04-28,NA,NA,B,CARW,1141-05702,BX,G,23.6,61.0,48.0,ASY,M,NA,NA,,,
LUCIDANMD1,2000-04-30,NA,NA,B,CARW,1141-05705,X,WK,21.9,59.0,50.0,AHY,M,NA,NA,,,
LUCIDANMD1,2000-04-30,NA,NA,B,CACH,1920-85882,XG,M,9.0,62.5,55.0,AHY,M,NA,NA,,,
SULLPAUVA1,2000-05-08,NA,NA,B,CACH,1920-85884,OG,X,NA,61.0,50.5,U,M,NA,NA,,,
SULLPAUVA1,2000-05-08,NA,NA,B,HOWR,1920-85883,X,RB,NA,53.0,44.5,U,M,NA,NA,,,
COLALISMD1,2000-05-12,NA,NA,B,CACH,1920-85887,XR,B,9.3,62.0,51.5,U,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,HOWR,1920-85885,X,BW,10.9,53.0,47.0,AHY,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CARW,1141-05706,MX,B,20.9,64.0,54.0,U,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CARW,1141-05706,MX,B,20.9,NA,54.0,U,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CARW,1141-05706,MX,B,20.9,64.0,NA,U,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CARW,1141-05706,MX,B,20.9,NA,NA,U,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CACH,1920-85886,OX,K,10.5,65.0,56.0,AHY,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CACH,1920-85886,OX,K,10.5,NA,56.0,AHY,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CACH,1920-85886,OX,K,NA,65.0,NA,AHY,M,NA,NA,,,
MCKEJANMD1,2000-05-12,NA,NA,B,CACH,1920-85886,OX,K,NA,NA,NA,AHY,M,NA,NA,,,
EDEREDWVA1,2000-05-18,NA,NA,B,GRCA,791-17736,X,YG,36.7,92.0,93.0,U,M,NA,NA,,,
EDEREDWVA1,2000-05-18,NA,NA,B,CACH,1920-85897,XB,W,9.4,60.0,50.5,U,M,NA,NA,,,
EDEREDWVA1,2000-05-18,NA,NA,B,CACH,1920-85898,YX,G,10.1,58.0,48.0,U,M,NA,NA,,,
EDEREDWVA1,2000-05-18,NA,NA,B,CACH,1920-85899,MK,X,9.2,60.0,48.0,U,F,NA,NA,,,
EDEREDWVA1,2000-05-18,NA,NA,B,CACH,1920-85896,B,XB,9.9,64.0,51.5,U,M,NA,NA,,,
SULLPAUVA1,2000-05-18,NA,NA,B,HOWR,1920-85900,G,XY,11.4,51.0,44.0,U,M,NA,NA,,,
MASIADRMD1,2000-05-23,NA,NA,B,NOCA,791-17737,X,OO,44.1,96.0,109.0,U,M,NA,NA,,,
WALTBONMD1,2000-05-25,NA,NA,B,AMRO,742-29701,X,G,74.0,121.0,97.0,U,F,NA,NA,,,
MCLERICMD1,2000-05-26,NA,NA,B,AMRO,742-29702,O,MX,72.8,117.0,88.0,U,F,NA,NA,,,
