siteID,spp,year,bandNumber,colorL,colorR
AAROJESFL1,CARW,2013.0,2661-07747,X,WR
AAROJESFL1,CARW,2013.0,2661-07748,KX,O
AAROJESFL1,CARW,2013.0,2661-07750,K,XW
AAROJESFL1,CARW,2014.0,2661-31319,XY,Y
AAROJESFL1,NOCA,2013.0,2531-99325,X,OR
AAROJESFL1,NOCA,2015.0,2641-96622,X,RM
AAROJESFL1,TUTI,2013.0,2661-07745,G,GX
AAROJESFL1,TUTI,2013.0,2661-07746,X,WM
AAROJESFL1,TUTI,2013.0,2661-07749,M,GX
AAROJESFL1,TUTI,2014.0,2661-31318,X,MB
AAROJESFL1,TUTI,2014.0,2661-31320,RK,X
ADAMELEVA1,SOSP,2004.0,4501-87467,BW,X
ADAMELEVA1,SOSP,2004.0,4501-87463,XO,M
ADAMVICFL1,CACH,2012.0,2640-61802,GY,X
ADAMVICFL1,CACH,2013.0,2590-82044,XK,R
ADAMVICFL1,CACH,2014.0,2640-61847,XY,G
ADAMVICFL1,CARW,2012.0,2571-70409,BO,X
ADAMVICFL1,CARW,2012.0,2571-70410,R,XW
ADAMVICFL1,CARW,2013.0,2571-90240,R,XY
ADAMVICFL1,CARW,2014.0,2661-31363,X,RW
ADAMVICFL1,CARW,2014.0,2661-31364,WX,B
ADAMVICFL1,CARW,2014.0,2661-31365,B,XG
ADAMVICFL1,CARW,2014.0,2661-31366,M,XW
ADAMVICFL1,NOCA,2012.0,1991-18007,G,YX
ADAMVICFL1,NOCA,2013.0,2331-09134,XB,W
ADAMVICFL1,NOCA,2013.0,2331-09135,X,YM
ADAMVICFL1,NOCA,2015.0,2651-56203,XY,R
ADAMVICFL1,NOMO,2013.0,1292-64352,BX,O
ADAMVICFL1,TUTI,2013.0,2571-90239,OX,R
AINSKYLGA1,AMRO,2014.0,1272-42447,B,MX
AINSKYLGA1,AMRO,2014.0,1272-42448,W,YX
AINSKYLGA1,CARW,2014.0,2661-07976,X,WY
AINSKYLGA1,NOCA,2014.0,2641-63366,RX,B
AINSKYLGA1,NOCA,2014.0,2641-63367,G,YX
AKREMICMA1,AMRO,2014.0,1352-63524,RX,W
AKREMICMA1,BCCH,2014.0,2720-99573,XW,B
AKREMICMA1,BCCH,2014.0,2720-99571,YO,X
AKREMICMA1,BCCH,2015.0,2750-35004,X,RB
AKREMICMA1,BCCH,2015.0,2750-35003,XM,K
AKREMICMA1,BCCH,2015.0,2750-35006,G,XR
AKREMICMA1,BCCH,2015.0,2750-35008,O,GX
AKREMICMA1,BCCH,2015.0,2750-35009,MW,X
AKREMICMA1,BCCH,2015.0,2750-35005,RX,O
AKREMICMA1,CARW,2014.0,2691-06138,OO,X
AKREMICMA1,CARW,2014.0,2691-06137,Y,XY
AKREMICMA1,GRCA,2014.0,2641-85653,XY,M
AKREMICMA1,GRCA,2014.0,2641-85652,KO,X
AKREMICMA1,GRCA,2014.0,2641-85650,B,XW
AKREMICMA1,GRCA,2014.0,2641-85651,MB,X
AKREMICMA1,GRCA,2014.0,2641-85660,R,XO
AKREMICMA1,GRCA,2014.0,2641-85659,W,XO
AKREMICMA1,GRCA,2015.0,2651-17047,K,GX
AKREMICMA1,GRCA,2015.0,2651-17046,Y,XB
AKREMICMA1,HOWR,2014.0,2720-99572,WX,G
AKREMICMA1,HOWR,2015.0,2750-35007,RX,W
AKREMICMA1,NOCA,2014.0,2641-85656,XY,Y
AKREMICMA1,NOCA,2014.0,2641-85658,KX,M
AKREMICMA1,NOCA,2014.0,2641-85657,M,XW
AKREMICMA1,NOCA,2014.0,2641-85655,MB,X
AKREMICMA1,NOCA,2014.0,2641-85654,R,BX
AKREMICMA1,SOSP,2014.0,2691-06140,X,GG
AKREMICMA1,SOSP,2014.0,2691-06136,O,WX
AKREMICMA1,SOSP,2014.0,2691-06139,YW,X
AKREMICMA1,SOSP,2015.0,2291-44231,RX,W
AKREMICMA2,BCCH,2016.0,2780-93227,NX,Y
AKREMICMA2,BCCH,2016.0,2780-93228,X,ER
AKREMICMA2,BCCH,2016.0,2780-93229,N,BX
AKREMICMA2,BCCH,2016.0,2780-93232,O,NX
AKREMICMA2,CARW,2016.0,2691-86648,O,XM
AKREMICMA2,CARW,2016.0,2691-86649,X,BW
AKREMICMA2,GRCA,2016.0,2651-65706,RX,E
AKREMICMA2,GRCA,2016.0,2651-65708,X,NB
AKREMICMA2,HOWR,2016.0,2780-93230,W,XW
AKREMICMA2,HOWR,2016.0,2780-93231,X,YK
AKREMICMA2,HOWR,2016.0,2780-93233,XB,O
AKREMICMA2,NOCA,2016.0,2651-65707,R,PX
ALBEJOAPA1,BCCH,2015.0,2750-64123,BX,K
ALBEJOAPA1,BCCH,2015.0,2750-64124,YX,Y
ALBEJOAPA1,BCCH,2015.0,2750-64125,W,GX
ALBEJOAPA1,CARW,2015.0,2441-14838,KX,R
ALBEJOAPA1,HOWR,2015.0,2750-64120,X,K
ALBEJOAPA1,HOWR,2015.0,2750-64121,BO,X
ALBEJOAPA1,HOWR,2015.0,2750-64122,RG,X
ALBEJOAPA1,HOWR,2015.0,2750-64126,Y,XO
ALBEJOAPA1,NOCA,2015.0,2531-74678,G,GX
ALBEJOAPA1,SOSP,2015.0,2441-14837,GX,Y
ALCACHLPA1,CACH,2015.0,2430-14746,O,WX
ALCACHLPA1,CARW,2015.0,2711-77433,R,RX
ALCACHLPA1,NOCA,2015.0,1781-50469,R,RX
ALCACHLPA1,SOSP,2015.0,2711-77432,B,KX
ALCACHLPA1,SOSP,2016.0,2711-77836,BO,OX
ALCACHLPA1,SOSP,2016.0,2711-77837,KK,PX
ALCACHLPA1,SOSP,2016.0,2711-77838,WW,RX
ALCACHLPA1,SOSP,2016.0,2711-77839,MM,GX
ALCACHLPA1,SOSP,2016.0,2711-77840,PP,OX
ALCACHLPA1,SOSP,2016.0,2711-77841,YY,XW
ALCACHLPA1,SOSP,2016.0,2711-77842,RB,XR
ALCOKENGA1,AMRO,2015.0,1352-27697,X,MB
ALCOKENGA1,BRTH,2015.0,1352-27695,Y,OX
ALCOKENGA1,CARW,2016.0,2711-57733,X,MG
ALCOKENGA1,GRCA,2015.0,2651-47436,G,XG
ALCOKENGA1,GRCA,2015.0,2651-47437,OX,M
ALCOKENGA1,GRCA,2015.0,2651-47438,X,YO
ALCOKENGA1,NOCA,2014.0,2641-63376,XG,R
ALCOKENGA1,NOCA,2014.0,2641-63377,R,RX
ALCOKENGA1,NOCA,2014.0,2641-63378,XY,Y
ALCOKENGA1,NOCA,2015.0,2651-47416,O,XG
ALCOKENGA1,NOMO,2015.0,1352-27696,O,OX
ALCOKENGA1,SOSP,2014.0,2661-07988,WX,M
ALCOKENGA1,SOSP,2014.0,2661-07989,W,YX
ALCOKENGA1,SOSP,2015.0,2711-54736,X,RB
ALCOKENGA1,SOSP,2015.0,2711-54735,R,GX
ALCOKENGA1,SOSP,2016.0,2711-57724,KX,K
ALEXROBPA1,AMRO,2015.0,1352-45924,PK,X
ALEXROBPA1,CACH,2015.0,2710-54080,GX,W
ALEXROBPA1,CACH,2015.0,2710-54081,OX,Y
ALEXROBPA1,CACH,2015.0,2710-54082,B,XY
ALEXROBPA1,CACH,2015.0,2710-54083,B,YX
ALEXROBPA1,GRCA,2015.0,2651-56696,OX,Y
ALEXROBPA1,NOCA,2015.0,2651-56697,Y,MX
ALEXROBPA1,SOSP,2015.0,2711-77345,PX,Y
ALLERILGA1,CACH,2016.0,2750-41422,XM,G
ALLERILGA1,NOCA,2016.0,2651-52421,W,XG
AMANDRUPA1,CARW,2015.0,2711-77441,W,PX
AMANDRUPA1,NOCA,2015.0,1781-50476,M,OX
AMANDRUPA1,NOCA,2015.0,1781-50477,YB,X
AMANDRUPA1,RBGR,2015.0,1781-50478,X,-
AMANDRUPA1,SOSP,2015.0,2711-77440,RB,X
AMANDRUPA1,SOSP,2015.0,2711-77442,GW,X
AMERICOMD1,CARW,2001.0,1141-05587,GO,X
AMERICOMD1,CARW,2001.0,1141-05588,YX,W
AMERICOMD1,CARW,2003.0,1821-63334,BX,M
AMERICOMD1,NOCA,2001.0,1751-51935,OX,W
AMERICOMD1,NOCA,2003.0,1801-77832,Y,MX
AMERICOMD1,NOCA,2004.0,1951-20910,Y,XG
AMERICOMD1,NOCA,2004.0,1951-20914,B,XM
AMERICOMD1,NOCA,2004.0,1951-20913,O,XK
AMERICOMD1,NOCA,2005.0,1991-21101,KX,M
AMESBURMA1,BCCH,2015.0,2750-34901,X,PG
AMESBURMA1,BCCH,2015.0,2750-34903,X,BP
AMESBURMA1,BCCH,2015.0,2750-34902,KW,X
AMESBURMA1,GRCA,2015.0,2651-43341,X,OP
AMESBURMA1,SOSP,2015.0,2291-44261,MX,Y
ANACMUSDC1,GRCA,2012.0,2531-90215,KX,R
ANACMUSDC1,NOCA,2012.0,2531-90214,RX,K
ANDEBRUPA1,BCCH,2014.0,2730-26365,XR,Y
ANDEBRUPA1,CACH,2014.0,2730-26366,XW,BX
ANDEBRUPA1,CACH,2015.0,2750-64013,WP,X
ANDEBRUPA1,CACH,2015.0,2750-64014,XG,G
ANDEBRUPA1,CACH,2016.0,2750-45328,OX,M
ANDEBRUPA1,CACH,2016.0,2750-45329,PX,Y
ANDEBRUPA1,CACH,2016.0,2750-45330,BM,X
ANDEBRUPA1,CARW,2014.0,266-18060,XW,M
