siteID,dateVisit,observerRs,rsStart,rsEnd,pathDistance,spUnbanded,countUnbanded
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,AMRO,8
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,AMRO,8
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,GRCA,3
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,GRCA,3
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,NOCA,5
GAETHEAMD1,2016-04-28,JLM,11:00,11:45:00,1330.0,NOCA,5
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,AMRO,19
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,AMRO,19
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,CARW,3
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,CARW,3
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,GRCA,2
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,GRCA,2
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,HOWR,3
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,HOWR,3
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,NOCA,5
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,NOCA,5
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,SOSP,6
EVANMICMD1,2016-04-28,KPK,12:19,13:14:00,1433.0,SOSP,6
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",10:40,11:30:00,3600.0,AMRO,15
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",10:40,11:30:00,3600.0,AMRO,15
CAPITCSDC1,2016-04-29,"KPK,JLM,ERF,AEH",10:40,11:30:00,3600.0,GRCA,3
