siteID,long,lat,region,distance,imp
AINSKYLGA1,-84.2851,33.78217,atlanta,100,3.2214264911726223
ALCOKENGA1,-84.52753,33.20159,atlanta,100,0
ALLERILGA1,-84.67711,33.85716,atlanta,100,21.25882649082877
ANDEREBGA1,-84.316162,33.770227,atlanta,100,11.51608692577144
ARABMOUGA1,-84.11668,33.68344,atlanta,100,0
ARGYLESGA1,-84.483595,33.883719,atlanta,100,52.34016149209481
ASTOLAUGA1,-84.45673,33.9891,atlanta,100,0.1214209427867814
BAKEBONGA1,-84.12022,33.85665,atlanta,100,10.095488635386797
BEARJUSGA1,-84.26845,33.81865,atlanta,100,4.778726743124249
BELMNIKGA1,-84.34275,34.05311,atlanta,100,3.7568168509912807
BINKJAMGA1,-84.219576,33.522311,atlanta,100,17.661437028404293
BLUEHPKGA1,-84.38052,33.86631,atlanta,100,28.07719051928612
BONNPATGA1,-84.28988,33.76759,atlanta,100,12.505673941025774
BRADVALGA1,-84.36773,34.04835,atlanta,100,12.557909692437832
BRAXBOBGA1,-84.40995,33.67027,atlanta,100,13.703168872024309
BURNEESGA1,-84.061118,34.031695,atlanta,100,35.65164074379804
CARTJOYGA1,-84.35227,33.73099,atlanta,100,36.34924571421971
CASSKATGA1,-84.63191,33.59491,atlanta,100,0.3637527785549763
CHALMICGA1,-84.35694,34.24292,atlanta,100,17.854070624268573
CHAMPAUGA1,-84.22485,33.81303,atlanta,100,12.817130107142022
CHANSYLGA1,-84.30094,33.79689,atlanta,100,15.291281601756266
CLAYRUSGA1,-84.64159,33.91404,atlanta,100,17.95204507667917
CLYDEPKGA1,-84.28419,33.80842,atlanta,100,4.4503282135778965
COOKGLOGA1,-84.16161,33.83406,atlanta,100,10.168105608372422
COOPEMSGA1,-84.63415,33.84204,atlanta,100,81.46865036311057
CZEBANGGA1,-84.36039,33.75824,atlanta,100,20.491634238023295
DAVICARGA1,-83.98652,33.52598,atlanta,100,0.7233188993442987
DAVIJENGA1,-84.59216,34.0334,atlanta,100,18.695894360948728
DECKJASGA1,-84.35271,33.71491,atlanta,100,10.637259694788371
DESIELAGA1,-84.34097,33.87695,atlanta,100,17.19075964377424
DICKEMMGA1,-84.32144,33.80961,atlanta,100,9.523275422968032
DIMMDIAGA1,-84.400995,33.662525,atlanta,100,21.187093324687915
DISALINGA1,-84.33427,33.75536,atlanta,100,7.922028069795863
DUKTJOHGA1,-84.30099,33.79697,atlanta,100,15.44433399825353
DULUADVGA1,99999,99999,atlanta,100,NA
EDWALINGA1,-84.22502,33.97941,atlanta,100,45.53560132493653
ENDRCINGA1,-84.6851,33.92953,atlanta,100,11.175690640579287
FALKSTEGA1,-84.3544,33.7209,atlanta,100,4.012624668062177
FEDRMARGA1,-84.63255,33.66298,atlanta,100,24.190469623646237
FERNBANGA1,-84.32671,33.77383,atlanta,100,13.548186126091041
FLOWANGGA1,-84.55444,34.10582,atlanta,100,31.756522501906577
FLOWPATGA1,-84.46074,34.01062,atlanta,100,13.016470041202561
FURRMELGA1,-84.23009,33.86989,atlanta,100,2.7083342637677106
FUTCROBGA1,-84.32144,33.80963,atlanta,100,9.254882232041934
GHILCOLGA1,-84.319820000000007,33.82515,atlanta,100,21.082424255573525
GITHFRAGA1,-84.28365,33.53955,atlanta,100,9.341145509735211
GORDMARGA1,-84.32138,33.80961,atlanta,100,9.37096163547516
GREERITGA1,-84.39997,34.11195,atlanta,100,20.934964567405846
HAMINANGA1,-84.35036,33.78326,atlanta,100,25.608508423413348
HARRMARGA1,-84.24995,33.75868,atlanta,100,10.71010522044234
HARTDELGA1,-84.409271,34.150459,atlanta,100,2.1280014660827704
HAWKDIAGA1,-84.49458,33.71439,atlanta,100,6.963175003473841
HEADDOTGA1,-84.33538,34.15347,atlanta,100,9.79203280749069
HERBMIRGA1,-84.33083,33.76257,atlanta,100,13.258883722314183
HITTJODGA1,-84.14588,33.44155,atlanta,100,37.26729135845595
HOGAMELGA1,-84.84688,33.90581,atlanta,100,25.41191617920099
HOPKMARGA1,-84.47169,34.04821,atlanta,100,7.973292385943647
HORNMARGA1,-84.29099,33.79072,atlanta,100,17.770091674735916
HOUSJONGA1,-84.38663,33.96825,atlanta,100,1.179621447405451
HOYTHARGA1,-84.28462,33.97786,atlanta,100,25.357848046060653
JENKANGGA1,-84.93509,33.6588,atlanta,100,1.9531307333889085
JENKANGGA2,-84.58447,33.991,atlanta,100,5.991078406902766
JETTMELGA1,-84.855,34.17366,atlanta,100,12.171114665577896
JOHNSCOGA1,-84.36269,33.78105,atlanta,100,38.023216989352655
JONEFAIGA1,-84.29593,33.56562,atlanta,100,23.124698257856966
KILGJACGA1,-84.29817,33.82553,atlanta,100,12.529238463144479
KIMBMARGA1,-84.29472,33.82072,atlanta,100,14.953340741520153
KIPPVISGA1,-84.36665,33.68874,atlanta,100,30.676524786319376
KOTCMELGA1,-84.34469,33.35771,atlanta,100,0
KRENMARGA1,-84.33939,33.8207,atlanta,100,6.85763603440826
KRIVMAUGA1,-84.65132,34.0117,atlanta,100,8.985571531806693
LANTTOMGA1,-84.5062,33.44,atlanta,100,17.80115470840624
LEEDONGA1,-84.45055,33.9168,atlanta,100,4.29302917886342
LENTTERGA1,-84.44402,33.73845,atlanta,100,19.74514671832751
MARIJAYGA1,-84.143375,33.712312,atlanta,100,44.341876758692756
MAYECINGA1,99999,99999,atlanta,100,NA
